source,decade,rank,term,count,tokens,per10k
American Enterprise Institute,1980s,1,poor,168,10984,152.95
American Enterprise Institute,1980s,2,people,139,10984,126.548
American Enterprise Institute,1980s,3,percent,85,10984,77.385
American Enterprise Institute,1980s,4,israel,83,10984,75.564
American Enterprise Institute,1980s,5,peace,76,10984,69.192
American Enterprise Institute,1980s,6,palestinian,68,10984,61.908
American Enterprise Institute,1980s,7,poverty,66,10984,60.087
American Enterprise Institute,1980s,8,bank,59,10984,53.714
American Enterprise Institute,1980s,9,arab,59,10984,53.714
American Enterprise Institute,1980s,10,would,58,10984,52.804
American Enterprise Institute,1980s,11,united,57,10984,51.894
American Enterprise Institute,1980s,12,one,55,10984,50.073
American Enterprise Institute,1980s,13,west,54,10984,49.162
American Enterprise Institute,1980s,14,government,51,10984,46.431
American Enterprise Institute,1980s,15,states,51,10984,46.431
American Enterprise Institute,1980s,16,between,48,10984,43.7
American Enterprise Institute,1980s,17,security,47,10984,42.79
American Enterprise Institute,1980s,18,public,46,10984,41.879
American Enterprise Institute,1980s,19,palestine,45,10984,40.969
American Enterprise Institute,1980s,20,east,43,10984,39.148
American Enterprise Institute,1980s,21,other,41,10984,37.327
American Enterprise Institute,1980s,22,political,39,10984,35.506
American Enterprise Institute,1980s,23,know,39,10984,35.506
American Enterprise Institute,1980s,24,among,38,10984,34.596
American Enterprise Institute,1980s,25,two,38,10984,34.596
American Enterprise Institute,1980s,26,only,38,10984,34.596
American Enterprise Institute,1980s,27,don't,37,10984,33.685
American Enterprise Institute,1980s,28,article,36,10984,32.775
American Enterprise Institute,1980s,29,middle,34,10984,30.954
American Enterprise Institute,1980s,30,policy,33,10984,30.044
American Enterprise Institute,1980s,31,make,32,10984,29.133
American Enterprise Institute,1980s,32,autonomy,31,10984,28.223
American Enterprise Institute,1980s,33,american,30,10984,27.312
American Enterprise Institute,1980s,34,council,30,10984,27.312
American Enterprise Institute,1980s,35,within,30,10984,27.312
American Enterprise Institute,1980s,36,get,30,10984,27.312
American Enterprise Institute,1980s,37,view,28,10984,25.492
American Enterprise Institute,1980s,38,gaza,28,10984,25.492
American Enterprise Institute,1980s,39,israeli,28,10984,25.492
American Enterprise Institute,1980s,40,think,28,10984,25.492
American Enterprise Institute,1980s,41,area,27,10984,24.581
American Enterprise Institute,1980s,42,state,26,10984,23.671
American Enterprise Institute,1980s,43,agreement,26,10984,23.671
American Enterprise Institute,1980s,44,work,26,10984,23.671
American Enterprise Institute,1980s,45,money,26,10984,23.671
American Enterprise Institute,1980s,46,national,25,10984,22.76
American Enterprise Institute,1980s,47,part,25,10984,22.76
American Enterprise Institute,1980s,48,believe,25,10984,22.76
American Enterprise Institute,1980s,49,resolution,25,10984,22.76
American Enterprise Institute,1980s,50,time,25,10984,22.76
American Enterprise Institute,1980s,51,treaty,25,10984,22.76
American Enterprise Institute,1980s,52,egypt,25,10984,22.76
American Enterprise Institute,1980s,53,even,25,10984,22.76
American Enterprise Institute,1980s,54,liberation,25,10984,22.76
American Enterprise Institute,1980s,55,sisco,24,10984,21.85
American Enterprise Institute,1980s,56,negotiations,24,10984,21.85
American Enterprise Institute,1980s,57,process,24,10984,21.85
American Enterprise Institute,1980s,58,palestinians,24,10984,21.85
American Enterprise Institute,1980s,59,jordan,24,10984,21.85
American Enterprise Institute,1980s,60,mr,23,10984,20.94
American Enterprise Institute,1980s,61,begin,23,10984,20.94
American Enterprise Institute,1980s,62,say,23,10984,20.94
American Enterprise Institute,1980s,63,role,22,10984,20.029
American Enterprise Institute,1980s,64,women,22,10984,20.029
American Enterprise Institute,1980s,65,basic,21,10984,19.119
American Enterprise Institute,1980s,66,programs,21,10984,19.119
American Enterprise Institute,1980s,67,also,21,10984,19.119
American Enterprise Institute,1980s,68,nations,21,10984,19.119
American Enterprise Institute,1980s,69,years,21,10984,19.119
American Enterprise Institute,1980s,70,world,21,10984,19.119
American Enterprise Institute,1980s,71,much,21,10984,19.119
American Enterprise Institute,1980s,72,help,21,10984,19.119
American Enterprise Institute,1980s,73,take,21,10984,19.119
American Enterprise Institute,1980s,74,david,20,10984,18.208
American Enterprise Institute,1980s,75,solution,20,10984,18.208
American Enterprise Institute,1980s,76,problem,20,10984,18.208
American Enterprise Institute,1980s,77,every,20,10984,18.208
American Enterprise Institute,1980s,78,welfare,20,10984,18.208
American Enterprise Institute,1980s,79,aei,19,10984,17.298
American Enterprise Institute,1980s,80,three,19,10984,17.298
American Enterprise Institute,1980s,81,framework,19,10984,17.298
American Enterprise Institute,1980s,82,issue,19,10984,17.298
American Enterprise Institute,1980s,83,agree,19,10984,17.298
American Enterprise Institute,1980s,84,parties,19,10984,17.298
American Enterprise Institute,1980s,85,enterprise,18,10984,16.387
American Enterprise Institute,1980s,86,institute,18,10984,16.387
American Enterprise Institute,1980s,87,made,18,10984,16.387
American Enterprise Institute,1980s,88,different,18,10984,16.387
American Enterprise Institute,1980s,89,talks,18,10984,16.387
American Enterprise Institute,1980s,90,camp,18,10984,16.387
American Enterprise Institute,1980s,91,war,18,10984,16.387
American Enterprise Institute,1980s,92,support,18,10984,16.387
American Enterprise Institute,1980s,93,now,18,10984,16.387
American Enterprise Institute,1980s,94,ment,18,10984,16.387
American Enterprise Institute,1980s,95,first,18,10984,16.387
American Enterprise Institute,1980s,96,point,18,10984,16.387
American Enterprise Institute,1980s,97,well,18,10984,16.387
American Enterprise Institute,1980s,98,right,18,10984,16.387
American Enterprise Institute,1980s,99,forces,18,10984,16.387
American Enterprise Institute,1980s,100,way,17,10984,15.477
American Enterprise Institute,2000s,1,would,2844,393095,72.349
American Enterprise Institute,2000s,2,s,2673,393095,67.999
American Enterprise Institute,2000s,3,policy,2377,393095,60.469
American Enterprise Institute,2000s,4,tax,2180,393095,55.457
American Enterprise Institute,2000s,5,new,1963,393095,49.937
American Enterprise Institute,2000s,6,air,1500,393095,38.159
American Enterprise Institute,2000s,7,federal,1403,393095,35.691
American Enterprise Institute,2000s,8,percent,1386,393095,35.259
American Enterprise Institute,2000s,9,economic,1341,393095,34.114
American Enterprise Institute,2000s,10,housing,1318,393095,33.529
American Enterprise Institute,2000s,11,other,1281,393095,32.588
American Enterprise Institute,2000s,12,budget,1256,393095,31.952
