source,decade,term,count,tokens,per10k
Cato Institute,1980s,poucy,1,105592,0.095
Cato Institute,1980s,analysis,86,105592,8.145
Cato Institute,1980s,july,32,105592,3.031
Cato Institute,1980s,routing,1,105592,0.095
Cato Institute,1980s,request,7,105592,0.663
Cato Institute,1980s,trust,9,105592,0.852
Cato Institute,1980s,people,237,105592,22.445
Cato Institute,1980s,case,120,105592,11.364
Cato Institute,1980s,gun,243,105592,23.013
Cato Institute,1980s,control,191,105592,18.088
Cato Institute,1980s,david,46,105592,4.356
Cato Institute,1980s,b,65,105592,6.156
Cato Institute,1980s,kopel,2,105592,0.189
Cato Institute,1980s,men,18,105592,1.705
Cato Institute,1980s,constitutions,7,105592,0.663
Cato Institute,1980s,naturally,6,105592,0.568
Cato Institute,1980s,divided,11,105592,1.042
Cato Institute,1980s,two,118,105592,11.175
Cato Institute,1980s,parties,22,105592,2.083
Cato Institute,1980s,fear,25,105592,2.368
Cato Institute,1980s,distrust,3,105592,0.284
Cato Institute,1980s,identify,8,105592,0.758
Cato Institute,1980s,confidence,10,105592,0.947
Cato Institute,1980s,cherish,1,105592,0.095
Cato Institute,1980s,consider,31,105592,2.936
Cato Institute,1980s,honest,4,105592,0.379
Cato Institute,1980s,safe,13,105592,1.231
Cato Institute,1980s,depository,1,105592,0.095
Cato Institute,1980s,public,403,105592,38.166
Cato Institute,1980s,interest,114,105592,10.796
Cato Institute,1980s,thomas,34,105592,3.22
Cato Institute,1980s,jefferson,5,105592,0.474
Cato Institute,1980s,policy,371,105592,35.135
Cato Institute,1980s,debates,6,105592,0.568
Cato Institute,1980s,dominated,5,105592,0.474
Cato Institute,1980s,emotion,2,105592,0.189
Cato Institute,1980s,misinformation,2,105592,0.189
Cato Institute,1980s,one,413,105592,39.113
Cato Institute,1980s,perhaps,43,105592,4.072
Cato Institute,1980s,debate,42,105592,3.978
Cato Institute,1980s,highly,26,105592,2.462
Cato Institute,1980s,charged,11,105592,1.042
Cato Institute,1980s,involves,14,105592,1.326
Cato Institute,1980s,fundamental,21,105592,1.989
Cato Institute,1980s,issues,51,105592,4.83
Cato Institute,1980s,calls,15,105592,1.421
Cato Institute,1980s,restrictions,55,105592,5.209
Cato Institute,1980s,bans,10,105592,0.947
Cato Institute,1980s,guns,99,105592,9.376
Cato Institute,1980s,significant,32,105592,3.031
Cato Institute,1980s,change,90,105592,8.523
Cato Institute,1980s,social,242,105592,22.918
Cato Institute,1980s,constitutional,31,105592,2.936
Cato Institute,1980s,systems,62,105592,5.872
Cato Institute,1980s,based,52,105592,4.925
Cato Institute,1980s,faulty,1,105592,0.095
Cato Institute,1980s,notion,15,105592,1.421
Cato Institute,1980s,ordinary,24,105592,2.273
Cato Institute,1980s,american,270,105592,25.57
Cato Institute,1980s,citizens,93,105592,8.807
Cato Institute,1980s,clumsy,1,105592,0.095
Cato Institute,1980s,ill-tempered,1,105592,0.095
Cato Institute,1980s,trusted,3,105592,0.284
Cato Institute,1980s,weapons,51,105592,4.83
Cato Institute,1980s,only,302,105592,28.601
Cato Institute,1980s,through,124,105592,11.743
Cato Institute,1980s,blatant,2,105592,0.189
Cato Institute,1980s,abrogation,1,105592,0.095
Cato Institute,1980s,explicit,13,105592,1.231
Cato Institute,1980s,rights,93,105592,8.807
Cato Institute,1980s,even,289,105592,27.369
Cato Institute,1980s,possible,49,105592,4.641
Cato Institute,1980s,enforced,5,105592,0.474
Cato Institute,1980s,violations,10,105592,0.947
Cato Institute,1980s,individual,58,105592,5.493
Cato Institute,1980s,intrusive,2,105592,0.189
Cato Institute,1980s,search,12,105592,1.136
Cato Institute,1980s,seizure,9,105592,0.852
Cato Institute,1980s,severely,4,105592,0.379
Cato Institute,1980s,victimizes,1,105592,0.095
Cato Institute,1980s,need,107,105592,10.133
Cato Institute,1980s,self-defense,22,105592,2.083
Cato Institute,1980s,blacks,25,105592,2.368
Cato Institute,1980s,women,24,105592,2.273
Cato Institute,1980s,various,33,105592,3.125
Cato Institute,1980s,proposals,37,105592,3.504
Cato Institute,1980s,today's,10,105592,0.947
Cato Institute,1980s,agenda--,1,105592,0.095
Cato Institute,1980s,including,50,105592,4.735
Cato Institute,1980s,licensing,43,105592,4.072
Cato Institute,1980s,waiting,12,105592,1.136
Cato Institute,1980s,periods,15,105592,1.421
Cato Institute,1980s,so-called,9,105592,0.852
Cato Institute,1980s,saturday,12,105592,1.136
Cato Institute,1980s,night,19,105592,1.799
Cato Institute,1980s,specials--are,1,105592,0.095
Cato Institute,1980s,little,95,105592,8.997
Cato Institute,1980s,value,41,105592,3.883
Cato Institute,1980s,crime-,2,105592,0.189
Cato Institute,1980s,fighting,10,105592,0.947
Cato Institute,1980s,measures,53,105592,5.019
Cato Institute,1980s,banning,7,105592,0.663
Cato Institute,1980s,reduce,47,105592,4.451
Cato Institute,1980s,crime,75,105592,7.103
Cato Institute,1980s,makes,36,105592,3.409
Cato Institute,1980s,much,163,105592,15.437
Cato Institute,1980s,sense,45,105592,4.262
Cato Institute,1980s,alcohol,8,105592,0.758
Cato Institute,1980s,drunk,3,105592,0.284
Cato Institute,1980s,driving,11,105592,1.042
Cato Institute,1980s,indeed,45,105592,4.262
Cato Institute,1980s,persuasive,9,105592,0.852
Cato Institute,1980s,evidence,49,105592,4.641
Cato Institute,1980s,shows,14,105592,1.326
Cato Institute,1980s,civilian,14,105592,1.326
Cato Institute,1980s,ownership,33,105592,3.125
Cato Institute,1980s,powerful,21,105592,1.989
Cato Institute,1980s,deterrent,3,105592,0.284
Cato Institute,1980s,poses,3,105592,0.284
Cato Institute,1980s,basic,53,105592,5.019
Cato Institute,1980s,question,50,105592,4.735
Cato Institute,1980s,trustworthy,4,105592,0.379
Cato Institute,1980s,government,582,105592,55.118
Cato Institute,1980s,formerly,6,105592,0.568
Cato Institute,1980s,assistant,6,105592,0.568
Cato Institute,1980s,district,20,105592,1.894
Cato Institute,1980s,attorney,11,105592,1.042
Cato Institute,1980s,manhattan,6,105592,0.568
Cato Institute,1980s,colorado,2,105592,0.189
Cato Institute,1980s,page,53,105592,5.019
Cato Institute,1980s,cause,52,105592,4.925
Cato Institute,1980s,advocates--those,1,105592,0.095
Cato Institute,1980s,favor,37,105592,3.504
Cato Institute,1980s,additional,28,105592,2.652
Cato Institute,1980s,legal,53,105592,5.019
Cato Institute,1980s,availability,15,105592,1.421
Cato Institute,1980s,want,58,105592,5.493
Cato Institute,1980s,outlaw,3,105592,0.284
Cato Institute,1980s,certain,48,105592,4.546
Cato Institute,1980s,types,11,105592,1.042
Cato Institute,1980s,guns--argue,1,105592,0.095
Cato Institute,1980s,detroit,15,105592,1.421
Cato Institute,1980s,narcotics,2,105592,0.189
Cato Institute,1980s,officer,10,105592,0.947
Cato Institute,1980s,put,50,105592,4.735
Cato Institute,1980s,drugs,12,105592,1.136
Cato Institute,1980s,x,8,105592,0.758
