source,decade,rank,term,count,tokens,per10k
Cato Institute,1980s,1,would,794,105592,75.195
Cato Institute,1980s,2,s,715,105592,67.713
Cato Institute,1980s,3,government,582,105592,55.118
Cato Institute,1980s,4,p,570,105592,53.981
Cato Institute,1980s,5,new,500,105592,47.352
Cato Institute,1980s,6,u,437,105592,41.386
Cato Institute,1980s,7,one,413,105592,39.113
Cato Institute,1980s,8,public,403,105592,38.166
Cato Institute,1980s,9,bank,378,105592,35.798
Cato Institute,1980s,10,policy,371,105592,35.135
Cato Institute,1980s,11,world,371,105592,35.135
Cato Institute,1980s,12,economic,361,105592,34.188
Cato Institute,1980s,13,other,350,105592,33.146
Cato Institute,1980s,14,private,347,105592,32.862
Cato Institute,1980s,15,percent,339,105592,32.105
Cato Institute,1980s,16,system,317,105592,30.021
Cato Institute,1980s,17,states,317,105592,30.021
Cato Institute,1980s,18,only,302,105592,28.601
Cato Institute,1980s,19,trade,301,105592,28.506
Cato Institute,1980s,20,even,289,105592,27.369
Cato Institute,1980s,21,schools,282,105592,26.707
Cato Institute,1980s,22,united,274,105592,25.949
Cato Institute,1980s,23,american,270,105592,25.57
Cato Institute,1980s,24,political,270,105592,25.57
Cato Institute,1980s,25,countries,250,105592,23.676
Cato Institute,1980s,26,york,248,105592,23.487
Cato Institute,1980s,27,also,247,105592,23.392
Cato Institute,1980s,28,security,247,105592,23.392
Cato Institute,1980s,29,gun,243,105592,23.013
Cato Institute,1980s,30,social,242,105592,22.918
Cato Institute,1980s,31,people,237,105592,22.445
Cato Institute,1980s,32,state,237,105592,22.445
Cato Institute,1980s,33,foreign,228,105592,21.593
Cato Institute,1980s,34,school,227,105592,21.498
Cato Institute,1980s,35,pp,224,105592,21.214
Cato Institute,1980s,36,washington,215,105592,20.361
Cato Institute,1980s,37,jobs,215,105592,20.361
Cato Institute,1980s,38,see,205,105592,19.414
Cato Institute,1980s,39,federal,204,105592,19.32
Cato Institute,1980s,40,time,203,105592,19.225
Cato Institute,1980s,41,national,201,105592,19.036
Cato Institute,1980s,42,sanctions,197,105592,18.657
Cato Institute,1980s,43,war,196,105592,18.562
Cato Institute,1980s,44,control,191,105592,18.088
Cato Institute,1980s,45,many,190,105592,17.994
Cato Institute,1980s,46,billion,180,105592,17.047
Cato Institute,1980s,47,years,177,105592,16.763
Cato Institute,1980s,48,law,175,105592,16.573
Cato Institute,1980s,49,market,175,105592,16.573
Cato Institute,1980s,50,support,167,105592,15.816
Cato Institute,1980s,51,education,166,105592,15.721
Cato Institute,1980s,52,much,163,105592,15.437
Cato Institute,1980s,53,oil,159,105592,15.058
Cato Institute,1980s,54,however,155,105592,14.679
Cato Institute,1980s,55,banks,155,105592,14.679
Cato Institute,1980s,56,programs,154,105592,14.584
Cato Institute,1980s,57,nations,154,105592,14.584
Cato Institute,1980s,58,military,153,105592,14.49
Cato Institute,1980s,59,cato,152,105592,14.395
Cato Institute,1980s,60,president,151,105592,14.3
Cato Institute,1980s,61,covert,151,105592,14.3
Cato Institute,1980s,62,first,149,105592,14.111
Cato Institute,1980s,63,free,145,105592,13.732
Cato Institute,1980s,64,make,144,105592,13.637
Cato Institute,1980s,65,journal,143,105592,13.543
Cato Institute,1980s,66,loans,143,105592,13.543
Cato Institute,1980s,67,business,137,105592,12.974
Cato Institute,1980s,68,institute,135,105592,12.785
Cato Institute,1980s,69,example,135,105592,12.785
Cato Institute,1980s,70,tax,135,105592,12.785
Cato Institute,1980s,71,money,133,105592,12.596
Cato Institute,1980s,72,reform,133,105592,12.596
Cato Institute,1980s,73,congress,130,105592,12.312
Cato Institute,1980s,74,now,129,105592,12.217
Cato Institute,1980s,75,service,129,105592,12.217
Cato Institute,1980s,76,d,127,105592,12.027
Cato Institute,1980s,77,program,126,105592,11.933
Cato Institute,1980s,78,year,125,105592,11.838
Cato Institute,1980s,79,through,124,105592,11.743
Cato Institute,1980s,80,action,124,105592,11.743
Cato Institute,1980s,81,times,123,105592,11.649
Cato Institute,1980s,82,use,121,105592,11.459
Cato Institute,1980s,83,power,121,105592,11.459
Cato Institute,1980s,84,case,120,105592,11.364
Cato Institute,1980s,85,less,120,105592,11.364
Cato Institute,1980s,86,problem,120,105592,11.364
Cato Institute,1980s,87,act,120,105592,11.364
Cato Institute,1980s,88,between,119,105592,11.27
Cato Institute,1980s,89,debt,119,105592,11.27
Cato Institute,1980s,90,two,118,105592,11.175
Cato Institute,1980s,91,since,118,105592,11.175
Cato Institute,1980s,92,soviet,118,105592,11.175
Cato Institute,1980s,93,workers,115,105592,10.891
Cato Institute,1980s,94,reagan,115,105592,10.891
Cato Institute,1980s,95,interest,114,105592,10.796
Cato Institute,1980s,96,defense,114,105592,10.796
Cato Institute,1980s,97,economy,114,105592,10.796
Cato Institute,1980s,98,c,113,105592,10.702
Cato Institute,1980s,99,second,113,105592,10.702
Cato Institute,1980s,100,policies,112,105592,10.607
Cato Institute,2000s,1,s,1299,93162,139.435
Cato Institute,2000s,2,cato,729,93162,78.251
Cato Institute,2000s,3,t,630,93162,67.624
Cato Institute,2000s,4,health,615,93162,66.014
Cato Institute,2000s,5,government,467,93162,50.128
Cato Institute,2000s,6,would,451,93162,48.41
Cato Institute,2000s,7,policy,442,93162,47.444
Cato Institute,2000s,8,care,356,93162,38.213
Cato Institute,2000s,9,people,332,93162,35.637
Cato Institute,2000s,10,o,330,93162,35.422
Cato Institute,2000s,11,drug,318,93162,34.134
Cato Institute,2000s,12,u,313,93162,33.597
Cato Institute,2000s,13,n,312,93162,33.49
Cato Institute,2000s,14,states,309,93162,33.168
Cato Institute,2000s,15,e,309,93162,33.168
Cato Institute,2000s,16,new,292,93162,31.343
Cato Institute,2000s,17,r,265,93162,28.445
Cato Institute,2000s,18,c,263,93162,28.23
Cato Institute,2000s,19,institute,261,93162,28.016
Cato Institute,2000s,20,p,254,93162,27.264
Cato Institute,2000s,21,one,250,93162,26.835
Cato Institute,2000s,22,other,247,93162,26.513
Cato Institute,2000s,23,rights,244,93162,26.191
Cato Institute,2000s,24,inequality,237,93162,25.44
Cato Institute,2000s,25,law,232,93162,24.903
Cato Institute,2000s,26,economic,224,93162,24.044
Cato Institute,2000s,27,social,224,93162,24.044
Cato Institute,2000s,28,united,223,93162,23.937
Cato Institute,2000s,29,power,222,93162,23.829
Cato Institute,2000s,30,see,215,93162,23.078
Cato Institute,2000s,31,percent,203,93162,21.79
Cato Institute,2000s,32,many,201,93162,21.575
Cato Institute,2000s,33,only,201,93162,21.575
Cato Institute,2000s,34,national,201,93162,21.575
Cato Institute,2000s,35,income,200,93162,21.468
Cato Institute,2000s,36,public,198,93162,21.253
Cato Institute,2000s,37,privacy,198,93162,21.253
Cato Institute,2000s,38,world,196,93162,21.039
Cato Institute,2000s,39,insurance,196,93162,21.039
Cato Institute,2000s,40,even,192,93162,20.609
Cato Institute,2000s,41,gold,191,93162,20.502
Cato Institute,2000s,42,money,191,93162,20.502
Cato Institute,2000s,43,state,191,93162,20.502
Cato Institute,2000s,44,system,187,93162,20.073
Cato Institute,2000s,45,years,185,93162,19.858
Cato Institute,2000s,46,political,180,93162,19.321
Cato Institute,2000s,47,tax,172,93162,18.462
Cato Institute,2000s,48,use,169,93162,18.14
Cato Institute,2000s,49,security,169,93162,18.14
Cato Institute,2000s,50,free,168,93162,18.033
Cato Institute,2000s,51,also,164,93162,17.604
Cato Institute,2000s,52,right,162,93162,17.389
Cato Institute,2000s,53,year,157,93162,16.852
Cato Institute,2000s,54,president,156,93162,16.745
Cato Institute,2000s,55,federal,153,93162,16.423
Cato Institute,2000s,56,information,150,93162,16.101
Cato Institute,2000s,57,university,149,93162,15.994
Cato Institute,2000s,58,make,149,93162,15.994
Cato Institute,2000s,59,l,149,93162,15.994
Cato Institute,2000s,60,w,143,93162,15.35
Cato Institute,2000s,61,american,143,93162,15.35
Cato Institute,2000s,62,report,141,93162,15.135
Cato Institute,2000s,63,drugs,140,93162,15.028
Cato Institute,2000s,64,fellow,133,93162,14.276
Cato Institute,2000s,65,ing,130,93162,13.954
Cato Institute,2000s,66,way,130,93162,13.954
Cato Institute,2000s,67,portugal,128,93162,13.74
Cato Institute,2000s,68,countries,127,93162,13.632
Cato Institute,2000s,69,www,127,93162,13.632
Cato Institute,2000s,70,http,127,93162,13.632
Cato Institute,2000s,71,market,126,93162,13.525
Cato Institute,2000s,72,among,125,93162,13.417
Cato Institute,2000s,73,private,125,93162,13.417
Cato Institute,2000s,74,con-,125,93162,13.417
Cato Institute,2000s,75,like,125,93162,13.417
Cato Institute,2000s,76,tion,124,93162,13.31
Cato Institute,2000s,77,first,124,93162,13.31
Cato Institute,2000s,78,liberty,124,93162,13.31
Cato Institute,2000s,79,d,122,93162,13.095
Cato Institute,2000s,80,time,119,93162,12.773
Cato Institute,2000s,81,much,119,93162,12.773
Cato Institute,2000s,82,patients,119,93162,12.773
Cato Institute,2000s,83,standard,116,93162,12.451
Cato Institute,2000s,84,congress,116,93162,12.451
Cato Institute,2000s,85,medical,113,93162,12.129
Cato Institute,2000s,86,benefits,111,93162,11.915
Cato Institute,2000s,87,ment,111,93162,11.915
Cato Institute,2000s,88,reform,111,93162,11.915
Cato Institute,2000s,89,research,111,93162,11.915
Cato Institute,2000s,90,americans,110,93162,11.807
Cato Institute,2000s,91,between,109,93162,11.7
Cato Institute,2000s,92,conference,108,93162,11.593
Cato Institute,2000s,93,studies,107,93162,11.485
Cato Institute,2000s,94,property,106,93162,11.378
Cato Institute,2000s,95,rates,105,93162,11.271
Cato Institute,2000s,96,spending,104,93162,11.163
Cato Institute,2000s,97,fact,103,93162,11.056
Cato Institute,2000s,98,every,103,93162,11.056
Cato Institute,2000s,99,freedom,102,93162,10.949
Cato Institute,2000s,100,growth,101,93162,10.841
Cato Institute,2010s,1,s,934,72615,128.624
Cato Institute,2010s,2,t,477,72615,65.689
Cato Institute,2010s,3,would,463,72615,63.761
Cato Institute,2010s,4,government,343,72615,47.235
Cato Institute,2010s,5,tax,307,72615,42.278
Cato Institute,2010s,6,drug,301,72615,41.451
Cato Institute,2010s,7,e,295,72615,40.625
Cato Institute,2010s,8,people,277,72615,38.146
Cato Institute,2010s,9,state,261,72615,35.943
Cato Institute,2010s,10,other,251,72615,34.566
Cato Institute,2010s,11,one,248,72615,34.153
Cato Institute,2010s,12,policy,243,72615,33.464
Cato Institute,2010s,13,regulation,232,72615,31.949
Cato Institute,2010s,14,cato,229,72615,31.536
Cato Institute,2010s,15,u,222,72615,30.572
Cato Institute,2010s,16,new,220,72615,30.297
Cato Institute,2010s,17,r,217,72615,29.884
Cato Institute,2010s,18,political,211,72615,29.057
Cato Institute,2010s,19,federal,209,72615,28.782
Cato Institute,2010s,20,o,195,72615,26.854
Cato Institute,2010s,21,n,192,72615,26.441
Cato Institute,2010s,22,public,181,72615,24.926
Cato Institute,2010s,23,capital,169,72615,23.273
Cato Institute,2010s,24,also,169,72615,23.273
Cato Institute,2010s,25,even,165,72615,22.723
Cato Institute,2010s,26,many,157,72615,21.621
Cato Institute,2010s,27,gains,155,72615,21.345
Cato Institute,2010s,28,economic,155,72615,21.345
Cato Institute,2010s,29,only,152,72615,20.932
Cato Institute,2010s,30,c,152,72615,20.932
Cato Institute,2010s,31,regulatory,147,72615,20.244
Cato Institute,2010s,32,rights,147,72615,20.244
Cato Institute,2010s,33,justice,145,72615,19.968
Cato Institute,2010s,34,expenditures,144,72615,19.831
Cato Institute,2010s,35,health,139,72615,19.142
Cato Institute,2010s,36,right,139,72615,19.142
Cato Institute,2010s,37,social,135,72615,18.591
