source,year,term,count,total_tokens
Cato Institute,1980,poucy,1,105592
Cato Institute,1980,analysis,86,105592
Cato Institute,1980,july,32,105592
Cato Institute,1980,routing,1,105592
Cato Institute,1980,request,7,105592
Cato Institute,1980,trust,9,105592
Cato Institute,1980,people,237,105592
Cato Institute,1980,case,120,105592
Cato Institute,1980,gun,243,105592
Cato Institute,1980,control,191,105592
Cato Institute,1980,david,46,105592
Cato Institute,1980,b,65,105592
Cato Institute,1980,kopel,2,105592
Cato Institute,1980,men,18,105592
Cato Institute,1980,constitutions,7,105592
Cato Institute,1980,naturally,6,105592
Cato Institute,1980,divided,11,105592
Cato Institute,1980,two,118,105592
Cato Institute,1980,parties,22,105592
Cato Institute,1980,fear,25,105592
Cato Institute,1980,distrust,3,105592
Cato Institute,1980,identify,8,105592
Cato Institute,1980,confidence,10,105592
Cato Institute,1980,cherish,1,105592
Cato Institute,1980,consider,31,105592
Cato Institute,1980,honest,4,105592
Cato Institute,1980,safe,13,105592
Cato Institute,1980,depository,1,105592
Cato Institute,1980,public,403,105592
Cato Institute,1980,interest,114,105592
Cato Institute,1980,thomas,34,105592
Cato Institute,1980,jefferson,5,105592
Cato Institute,1980,policy,371,105592
Cato Institute,1980,debates,6,105592
Cato Institute,1980,dominated,5,105592
Cato Institute,1980,emotion,2,105592
Cato Institute,1980,misinformation,2,105592
Cato Institute,1980,one,413,105592
Cato Institute,1980,perhaps,43,105592
Cato Institute,1980,debate,42,105592
Cato Institute,1980,highly,26,105592
Cato Institute,1980,charged,11,105592
Cato Institute,1980,involves,14,105592
Cato Institute,1980,fundamental,21,105592
Cato Institute,1980,issues,51,105592
Cato Institute,1980,calls,15,105592
Cato Institute,1980,restrictions,55,105592
Cato Institute,1980,bans,10,105592
Cato Institute,1980,guns,99,105592
Cato Institute,1980,significant,32,105592
Cato Institute,1980,change,90,105592
Cato Institute,1980,social,242,105592
Cato Institute,1980,constitutional,31,105592
Cato Institute,1980,systems,62,105592
Cato Institute,1980,based,52,105592
Cato Institute,1980,faulty,1,105592
Cato Institute,1980,notion,15,105592
Cato Institute,1980,ordinary,24,105592
Cato Institute,1980,american,270,105592
Cato Institute,1980,citizens,93,105592
Cato Institute,1980,clumsy,1,105592
Cato Institute,1980,ill-tempered,1,105592
Cato Institute,1980,trusted,3,105592
Cato Institute,1980,weapons,51,105592
Cato Institute,1980,only,302,105592
Cato Institute,1980,through,124,105592
Cato Institute,1980,blatant,2,105592
Cato Institute,1980,abrogation,1,105592
Cato Institute,1980,explicit,13,105592
Cato Institute,1980,rights,93,105592
Cato Institute,1980,even,289,105592
Cato Institute,1980,possible,49,105592
Cato Institute,1980,enforced,5,105592
Cato Institute,1980,violations,10,105592
Cato Institute,1980,individual,58,105592
Cato Institute,1980,intrusive,2,105592
Cato Institute,1980,search,12,105592
Cato Institute,1980,seizure,9,105592
Cato Institute,1980,severely,4,105592
Cato Institute,1980,victimizes,1,105592
Cato Institute,1980,need,107,105592
Cato Institute,1980,self-defense,22,105592
Cato Institute,1980,blacks,25,105592
Cato Institute,1980,women,24,105592
Cato Institute,1980,various,33,105592
Cato Institute,1980,proposals,37,105592
Cato Institute,1980,today's,10,105592
Cato Institute,1980,agenda--,1,105592
Cato Institute,1980,including,50,105592
Cato Institute,1980,licensing,43,105592
Cato Institute,1980,waiting,12,105592
Cato Institute,1980,periods,15,105592
Cato Institute,1980,so-called,9,105592
Cato Institute,1980,saturday,12,105592
Cato Institute,1980,night,19,105592
Cato Institute,1980,specials--are,1,105592
Cato Institute,1980,little,95,105592
Cato Institute,1980,value,41,105592
Cato Institute,1980,crime-,2,105592
Cato Institute,1980,fighting,10,105592
Cato Institute,1980,measures,53,105592
Cato Institute,1980,banning,7,105592
Cato Institute,1980,reduce,47,105592
Cato Institute,1980,crime,75,105592
Cato Institute,1980,makes,36,105592
Cato Institute,1980,much,163,105592
Cato Institute,1980,sense,45,105592
Cato Institute,1980,alcohol,8,105592
Cato Institute,1980,drunk,3,105592
Cato Institute,1980,driving,11,105592
Cato Institute,1980,indeed,45,105592
Cato Institute,1980,persuasive,9,105592
Cato Institute,1980,evidence,49,105592
Cato Institute,1980,shows,14,105592
Cato Institute,1980,civilian,14,105592
Cato Institute,1980,ownership,33,105592
Cato Institute,1980,powerful,21,105592
Cato Institute,1980,deterrent,3,105592
Cato Institute,1980,poses,3,105592
Cato Institute,1980,basic,53,105592
Cato Institute,1980,question,50,105592
Cato Institute,1980,trustworthy,4,105592
Cato Institute,1980,government,582,105592
Cato Institute,1980,formerly,6,105592
Cato Institute,1980,assistant,6,105592
Cato Institute,1980,district,20,105592
Cato Institute,1980,attorney,11,105592
Cato Institute,1980,manhattan,6,105592
Cato Institute,1980,colorado,2,105592
Cato Institute,1980,page,53,105592
Cato Institute,1980,cause,52,105592
Cato Institute,1980,advocates--those,1,105592
Cato Institute,1980,favor,37,105592
Cato Institute,1980,additional,28,105592
Cato Institute,1980,legal,53,105592
Cato Institute,1980,availability,15,105592
Cato Institute,1980,want,58,105592
Cato Institute,1980,outlaw,3,105592
Cato Institute,1980,certain,48,105592
Cato Institute,1980,types,11,105592
Cato Institute,1980,guns--argue,1,105592
Cato Institute,1980,detroit,15,105592
Cato Institute,1980,narcotics,2,105592
Cato Institute,1980,officer,10,105592
Cato Institute,1980,put,50,105592
Cato Institute,1980,drugs,12,105592
Cato Institute,1980,x,8,105592
Cato Institute,1980,number,82,105592
Cato Institute,1980,society,70,105592
Cato Institute,1980,y,22,105592
Cato Institute,1980,kids,9,105592
Cato Institute,1980,possession,17,105592
Cato Institute,1980,z,3,105592
Cato Institute,1980,plus,17,105592
Cato Institute,1980,equals,1,105592
Cato Institute,1980,increase,107,105592
Cato Institute,1980,murders,2,105592
Cato Institute,1980,simple,24,105592
Cato Institute,1980,statistical,14,105592
Cato Institute,1980,correlation,6,105592
Cato Institute,1980,between,119,105592
Cato Institute,1980,homicide,24,105592
Cato Institute,1980,other,350,105592
Cato Institute,1980,violent,21,105592
Cato Institute,1980,crimes,14,105592
Cato Institute,1980,first,149,105592
Cato Institute,1980,years,177,105592
Cato Institute,1980,century,36,105592
Cato Institute,1980,u,437,105592
Cato Institute,1980,s,715,105592
Cato Institute,1980,per,58,105592
Cato Institute,1980,capita,7,105592
Cato Institute,1980,handgun,69,105592
Cato Institute,1980,remained,16,105592
Cato Institute,1980,stable,8,105592
Cato Institute,1980,rate,94,105592
Cato Institute,1980,rose,25,105592
Cato Institute,1980,tenfold,1,105592
Cato Institute,1980,subsequently,5,105592
Cato Institute,1980,percent,339,105592
Cato Institute,1980,fell,25,105592
Cato Institute,1980,switzerland,5,105592
Cato Institute,1980,militia,29,105592
Cato Institute,1980,system,317,105592
Cato Institute,1980,distributes,1,105592
Cato Institute,1980,pistols,1,105592
Cato Institute,1980,fully,18,105592
Cato Institute,1980,automatic,4,105592
Cato Institute,1980,assault,8,105592
Cato Institute,1980,rifles,4,105592
Cato Institute,1980,adult,3,105592
Cato Institute,1980,males,5,105592
Cato Institute,1980,requires,26,105592
Cato Institute,1980,store,7,105592
Cato Institute,1980,home,48,105592
Cato Institute,1980,long-gun,3,105592
Cato Institute,1980,purchases,32,105592
Cato Institute,1980,essentially,7,105592
Cato Institute,1980,unregulated,1,105592
Cato Institute,1980,handguns,53,105592
Cato Institute,1980,available,54,105592
Cato Institute,1980,without,90,105592
Cato Institute,1980,criminal,38,105592
Cato Institute,1980,record,51,105592
Cato Institute,1980,mental,7,105592
Cato Institute,1980,defect,3,105592
Cato Institute,1980,nevertheless,15,105592
Cato Institute,1980,suffers,5,105592
Cato Institute,1980,far,72,105592
Cato Institute,1980,less,120,105592
Cato Institute,1980,united,274,105592
Cato Institute,1980,states,317,105592
Cato Institute,1980,almost,73,105592
Cato Institute,1980,allowing,11,105592
Cato Institute,1980,important,87,105592
Cato Institute,1980,differences,2,105592
Cato Institute,1980,seems,42,105592
Cato Institute,1980,clear,45,105592
Cato Institute,1980,direct,26,105592
Cato Institute,1980,link,1,105592
Cato Institute,1980,level,57,105592
Cato Institute,1980,citizen,16,105592
Cato Institute,1980,misuse,2,105592
Cato Institute,1980,instead,44,105592
Cato Institute,1980,simplistically,1,105592
Cato Institute,1980,assuming,9,105592
Cato Institute,1980,fewer,13,105592
