source,decade,rank,term,count,tokens,per10k
Heritage Foundation,1980s,1,s,838,87217,96.082
Heritage Foundation,1980s,2,u,627,87217,71.89
Heritage Foundation,1980s,3,policy,435,87217,49.876
Heritage Foundation,1980s,4,would,433,87217,49.646
Heritage Foundation,1980s,5,new,432,87217,49.532
Heritage Foundation,1980s,6,government,382,87217,43.799
Heritage Foundation,1980s,7,national,379,87217,43.455
Heritage Foundation,1980s,8,state,333,87217,38.181
Heritage Foundation,1980s,9,public,280,87217,32.104
Heritage Foundation,1980s,10,heritage,271,87217,31.072
Heritage Foundation,1980s,11,political,269,87217,30.843
Heritage Foundation,1980s,12,other,266,87217,30.499
Heritage Foundation,1980s,13,one,264,87217,30.269
Heritage Foundation,1980s,14,economic,244,87217,27.976
Heritage Foundation,1980s,15,states,235,87217,26.944
Heritage Foundation,1980s,16,security,229,87217,26.256
Heritage Foundation,1980s,17,people,225,87217,25.798
Heritage Foundation,1980s,18,also,225,87217,25.798
Heritage Foundation,1980s,19,soviet,217,87217,24.88
Heritage Foundation,1980s,20,social,214,87217,24.537
Heritage Foundation,1980s,21,foreign,211,87217,24.193
Heritage Foundation,1980s,22,cultural,210,87217,24.078
Heritage Foundation,1980s,23,nuclear,204,87217,23.39
Heritage Foundation,1980s,24,washington,202,87217,23.161
Heritage Foundation,1980s,25,president,197,87217,22.587
Heritage Foundation,1980s,26,program,197,87217,22.587
Heritage Foundation,1980s,27,foundation,192,87217,22.014
Heritage Foundation,1980s,28,american,189,87217,21.67
Heritage Foundation,1980s,29,military,186,87217,21.326
Heritage Foundation,1980s,30,years,184,87217,21.097
Heritage Foundation,1980s,31,conservative,180,87217,20.638
Heritage Foundation,1980s,32,many,177,87217,20.294
Heritage Foundation,1980s,33,united,176,87217,20.18
Heritage Foundation,1980s,34,action,174,87217,19.95
Heritage Foundation,1980s,35,percent,173,87217,19.836
Heritage Foundation,1980s,36,only,172,87217,19.721
Heritage Foundation,1980s,37,world,168,87217,19.262
Heritage Foundation,1980s,38,unesco,164,87217,18.804
Heritage Foundation,1980s,39,through,161,87217,18.46
Heritage Foundation,1980s,40,p,157,87217,18.001
Heritage Foundation,1980s,41,costa,155,87217,17.772
Heritage Foundation,1980s,42,administration,149,87217,17.084
Heritage Foundation,1980s,43,private,149,87217,17.084
Heritage Foundation,1980s,44,time,148,87217,16.969
Heritage Foundation,1980s,45,ideas,147,87217,16.855
Heritage Foundation,1980s,46,first,147,87217,16.855
Heritage Foundation,1980s,47,culture,145,87217,16.625
Heritage Foundation,1980s,48,two,143,87217,16.396
Heritage Foundation,1980s,49,control,142,87217,16.281
Heritage Foundation,1980s,50,department,140,87217,16.052
Heritage Foundation,1980s,51,power,139,87217,15.937
Heritage Foundation,1980s,52,even,138,87217,15.823
Heritage Foundation,1980s,53,congress,130,87217,14.905
