source,year,term,count,total_tokens
Heritage Foundation,1980,popular,66,87217
Heritage Foundation,1980,conservatives,73,87217
Heritage Foundation,1980,russell,15,87217
Heritage Foundation,1980,kirk,14,87217
Heritage Foundation,1980,heritage,271,87217
Heritage Foundation,1980,foundation,192,87217
Heritage Foundation,1980,established,43,87217
Heritage Foundation,1980,non,4,87217
Heritage Foundation,1980,partisan,3,87217
Heritage Foundation,1980,tax-exempt,10,87217
Heritage Foundation,1980,policy,435,87217
Heritage Foundation,1980,research,104,87217
Heritage Foundation,1980,institute,126,87217
Heritage Foundation,1980,dedicated,14,87217
Heritage Foundation,1980,principles,27,87217
Heritage Foundation,1980,free,87,87217
Heritage Foundation,1980,competitive,16,87217
Heritage Foundation,1980,enterprise,49,87217
Heritage Foundation,1980,limited,34,87217
Heritage Foundation,1980,government,382,87217
Heritage Foundation,1980,individual,64,87217
Heritage Foundation,1980,liberty,22,87217
Heritage Foundation,1980,strong,45,87217
Heritage Foundation,1980,national,379,87217
Heritage Foundation,1980,defense,116,87217
Heritage Foundation,1980,foundation's,15,87217
Heritage Foundation,1980,study,64,87217
Heritage Foundation,1980,programs,102,87217
Heritage Foundation,1980,designed,34,87217
Heritage Foundation,1980,make,109,87217
Heritage Foundation,1980,voices,11,87217
Heritage Foundation,1980,responsible,33,87217
Heritage Foundation,1980,conservatism,65,87217
Heritage Foundation,1980,heard,18,87217
Heritage Foundation,1980,washington,202,87217
Heritage Foundation,1980,d,127,87217
Heritage Foundation,1980,c,129,87217
Heritage Foundation,1980,throughout,34,87217
Heritage Foundation,1980,united,176,87217
Heritage Foundation,1980,states,235,87217
Heritage Foundation,1980,capitals,11,87217
Heritage Foundation,1980,world,168,87217
Heritage Foundation,1980,publishes,10,87217
Heritage Foundation,1980,variety,25,87217
Heritage Foundation,1980,formats,10,87217
Heritage Foundation,1980,benefit,30,87217
Heritage Foundation,1980,makers,32,87217
Heritage Foundation,1980,communications,35,87217
Heritage Foundation,1980,media,75,87217
Heritage Foundation,1980,academic,16,87217
Heritage Foundation,1980,business,64,87217
Heritage Foundation,1980,financial,54,87217
Heritage Foundation,1980,communities,18,87217
Heritage Foundation,1980,public,280,87217
Heritage Foundation,1980,large,73,87217
Heritage Foundation,1980,past,58,87217
Heritage Foundation,1980,five,44,87217
Heritage Foundation,1980,years,184,87217
