source,decade,term,count,tokens,per10k
Manhattan Institute,1980s,r,2,10267,1.948
Manhattan Institute,1980s,f,2,10267,1.948
Manhattan Institute,1980s,today,13,10267,12.662
Manhattan Institute,1980s,tomorrow,4,10267,3.896
Manhattan Institute,1980s,tom,14,10267,13.636
Manhattan Institute,1980s,wolfe's,21,10267,20.454
Manhattan Institute,1980s,newyork,2,10267,1.948
Manhattan Institute,1980s,manhattan,16,10267,15.584
Manhattan Institute,1980s,paper,4,10267,3.896
Manhattan Institute,1980s,reviews,1,10267,0.974
Manhattan Institute,1980s,bonfire,53,10267,51.622
Manhattan Institute,1980s,vanities,15,10267,14.61
Manhattan Institute,1980s,described,2,10267,1.948
Manhattan Institute,1980s,essentially,2,10267,1.948
Manhattan Institute,1980s,literary,2,10267,1.948
Manhattan Institute,1980s,evem-the,1,10267,0.974
Manhattan Institute,1980s,transformation,2,10267,1.948
Manhattan Institute,1980s,america's,1,10267,0.974
Manhattan Institute,1980s,greatest,8,10267,7.792
Manhattan Institute,1980s,journalist,4,10267,3.896
Manhattan Institute,1980s,first-time,1,10267,0.974
Manhattan Institute,1980s,novelist,3,10267,2.922
Manhattan Institute,1980s,sure,9,10267,8.766
Manhattan Institute,1980s,phenome-,1,10267,0.974
Manhattan Institute,1980s,non,1,10267,0.974
Manhattan Institute,1980s,first,13,10267,12.662
Manhattan Institute,1980s,order,32,10267,31.168
Manhattan Institute,1980s,new,111,10267,108.113
Manhattan Institute,1980s,yorkers,6,10267,5.844
Manhattan Institute,1980s,also,26,10267,25.324
Manhattan Institute,1980s,talking,5,10267,4.87
Manhattan Institute,1980s,social,31,10267,30.194
Manhattan Institute,1980s,phe-,1,10267,0.974
Manhattan Institute,1980s,nomenon,1,10267,0.974
Manhattan Institute,1980s,acerbic,1,10267,0.974
Manhattan Institute,1980s,anatomy,1,10267,0.974
Manhattan Institute,1980s,power,10,10267,9.74
Manhattan Institute,1980s,privilege,1,10267,0.974
Manhattan Institute,1980s,nation's,1,10267,0.974
Manhattan Institute,1980s,richest,1,10267,0.974
Manhattan Institute,1980s,city,56,10267,54.544
Manhattan Institute,1980s,added,1,10267,0.974
Manhattan Institute,1980s,indelible,1,10267,0.974
Manhattan Institute,1980s,even,21,10267,20.454
Manhattan Institute,1980s,essential,1,10267,0.974
Manhattan Institute,1980s,phrases,1,10267,0.974
Manhattan Institute,1980s,x-ray,1,10267,0.974
Manhattan Institute,1980s,lemon,1,10267,0.974
Manhattan Institute,1980s,tart,1,10267,0.974
Manhattan Institute,1980s,vocabulary,1,10267,0.974
Manhattan Institute,1980s,every,7,10267,6.818
Manhattan Institute,1980s,literate,1,10267,0.974
Manhattan Institute,1980s,yorker,2,10267,1.948
Manhattan Institute,1980s,moreover,5,10267,4.87
Manhattan Institute,1980s,candor,1,10267,0.974
Manhattan Institute,1980s,wolfe,49,10267,47.726
Manhattan Institute,1980s,discusses,1,10267,0.974
Manhattan Institute,1980s,race,9,10267,8.766
Manhattan Institute,1980s,relations,14,10267,13.636
Manhattan Institute,1980s,york,90,10267,87.659
Manhattan Institute,1980s,already,5,10267,4.87
Manhattan Institute,1980s,changed,3,10267,2.922
Manhattan Institute,1980s,euphemism-bound,1,10267,0.974
Manhattan Institute,1980s,rules,13,10267,12.662
Manhattan Institute,1980s,public,24,10267,23.376
Manhattan Institute,1980s,discourse,2,10267,1.948
Manhattan Institute,1980s,polite,2,10267,1.948
Manhattan Institute,1980s,society,6,10267,5.844
Manhattan Institute,1980s,institute,7,10267,6.818
Manhattan Institute,1980s,convened,1,10267,0.974
Manhattan Institute,1980s,panel,2,10267,1.948
Manhattan Institute,1980s,discuss,1,10267,0.974
Manhattan Institute,1980s,say,27,10267,26.298
Manhattan Institute,1980s,political,12,10267,11.688
Manhattan Institute,1980s,economic,8,10267,7.792
Manhattan Institute,1980s,realities,2,10267,1.948
Manhattan Institute,1980s,life,17,10267,16.558
Manhattan Institute,1980s,chaired,1,10267,0.974
Manhattan Institute,1980s,fellow,2,10267,1.948
Manhattan Institute,1980s,walter,56,10267,54.544
Manhattan Institute,1980s,olson,4,10267,3.896
Manhattan Institute,1980s,explored,1,10267,0.974
Manhattan Institute,1980s,degree,5,10267,4.87
Manhattan Institute,1980s,bleak,1,10267,0.974
Manhattan Institute,1980s,vision,3,10267,2.922
Manhattan Institute,1980s,exaggerated--,1,10267,0.974
Manhattan Institute,1980s,speculated,1,10267,0.974
Manhattan Institute,1980s,world,16,10267,15.584
Manhattan Institute,1980s,ofthe,1,10267,0.974
Manhattan Institute,1980s,like,36,10267,35.064
Manhattan Institute,1980s,decade,3,10267,2.922
Manhattan Institute,1980s,come,17,10267,16.558
Manhattan Institute,1980s,cover,2,10267,1.948
Manhattan Institute,1980s,carnegie,3,10267,2.922
Manhattan Institute,1980s,hall,2,10267,1.948
Manhattan Institute,1980s,william,1,10267,0.974
Manhattan Institute,1980s,burnet,1,10267,0.974
Manhattan Institute,1980s,tlllhill,1,10267,0.974
Manhattan Institute,1980s,lehrman,2,10267,1.948
Manhattan Institute,1980s,roundtable,3,10267,2.922
Manhattan Institute,1980s,chairman,2,10267,1.948
Manhattan Institute,1980s,peter,21,10267,20.454
Manhattan Institute,1980s,huber,5,10267,4.87
Manhattan Institute,1980s,myron,28,10267,27.272
Manhattan Institute,1980s,magnet,3,10267,2.922
Manhattan Institute,1980s,charles,23,10267,22.402
Manhattan Institute,1980s,murray,3,10267,2.922
Manhattan Institute,1980s,terry,44,10267,42.856
Manhattan Institute,1980s,teachout,3,10267,2.922
Manhattan Institute,1980s,richard,27,10267,26.298
Manhattan Institute,1980s,vigilante,5,10267,4.87
Manhattan Institute,1980s,wriston,2,10267,1.948
Manhattan Institute,1980s,j,2,10267,1.948
Manhattan Institute,1980s,manhauan,2,10267,1.948
Manhattan Institute,1980s,lns,1,10267,0.974
Manhattan Institute,1980s,u,2,10267,1.948
Manhattan Institute,1980s,e,2,10267,1.948
Manhattan Institute,1980s,policy,6,10267,5.844
Manhattan Institute,1980s,research,6,10267,5.844
Manhattan Institute,1980s,participants,1,10267,0.974
Manhattan Institute,1980s,attorney,1,10267,0.974
Manhattan Institute,1980s,author,3,10267,2.922
Manhattan Institute,1980s,whose,5,10267,4.87
Manhattan Institute,1980s,book,62,10267,60.388
Manhattan Institute,1980s,liability,5,10267,4.87
Manhattan Institute,1980s,legal,25,10267,24.35
Manhattan Institute,1980s,revolution,1,10267,0.974
Manhattan Institute,1980s,conse-,1,10267,0.974
Manhattan Institute,1980s,quences,1,10267,0.974
Manhattan Institute,1980s,published,4,10267,3.896
Manhattan Institute,1980s,basic,2,10267,1.948
Manhattan Institute,1980s,books,2,10267,1.948
Manhattan Institute,1980s,serves,1,10267,0.974
Manhattan Institute,1980s,board,3,10267,2.922
Manhattan Institute,1980s,editors,1,10267,0.974
Manhattan Institute,1980s,fortune,1,10267,0.974
Manhattan Institute,1980s,dickens,4,10267,3.896
Manhattan Institute,1980s,analyst,1,10267,0.974
Manhattan Institute,1980s,pursuit,2,10267,1.948
Manhattan Institute,1980s,oj,1,10267,0.974
Manhattan Institute,1980s,appiness,1,10267,0.974
Manhattan Institute,1980s,good,18,10267,17.532
Manhattan Institute,1980s,government,5,10267,4.87
Manhattan Institute,1980s,simon,1,10267,0.974
Manhattan Institute,1980s,schuster,1,10267,0.974
Manhattan Institute,1980s,writer,4,10267,3.896
Manhattan Institute,1980s,living,9,10267,8.766
Manhattan Institute,1980s,member,4,10267,3.896
Manhattan Institute,1980s,editorial,1,10267,0.974
Manhattan Institute,1980s,daily,6,10267,5.844
Manhattan Institute,1980s,news,7,10267,6.818
Manhattan Institute,1980s,banker,2,10267,1.948
Manhattan Institute,1980s,key,3,10267,2.922
Manhattan Institute,1980s,architect,1,10267,0.974
Manhattan Institute,1980s,city's,3,10267,2.922
Manhattan Institute,1980s,fiscal,2,10267,1.948
Manhattan Institute,1980s,recovery,1,10267,0.974
Manhattan Institute,1980s,olson-the,2,10267,1.948
Manhattan Institute,1980s,question,8,10267,7.792
Manhattan Institute,1980s,comes,3,10267,2.922
Manhattan Institute,1980s,mind,6,10267,5.844
Manhattan Institute,1980s,considering,1,10267,0.974
Manhattan Institute,1980s,novel,19,10267,18.506
Manhattan Institute,1980s,take,17,10267,16.558
Manhattan Institute,1980s,tell,7,10267,6.818
Manhattan Institute,1980s,many,33,10267,32.142
Manhattan Institute,1980s,striking,1,10267,0.974
Manhattan Institute,1980s,truths,1,10267,0.974
Manhattan Institute,1980s,least,9,10267,8.766
Manhattan Institute,1980s,assertions,1,10267,0.974
Manhattan Institute,1980s,contains,1,10267,0.974
Manhattan Institute,1980s,didn't,2,10267,1.948
Manhattan Institute,1980s,working,4,10267,3.896
Manhattan Institute,1980s,press,5,10267,4.87
Manhattan Institute,1980s,asked,6,10267,5.844
Manhattan Institute,1980s,recently,4,10267,3.896
Manhattan Institute,1980s,reply,1,10267,0.974
Manhattan Institute,1980s,that's,19,10267,18.506
Manhattan Institute,1980s,easy,3,10267,2.922
Manhattan Institute,1980s,novelists,1,10267,0.974
Manhattan Institute,1980s,get,12,10267,11.688
Manhattan Institute,1980s,away,14,10267,13.636
Manhattan Institute,1980s,things,23,10267,22.402
Manhattan Institute,1980s,journalists,2,10267,1.948
Manhattan Institute,1980s,would,37,10267,36.038
Manhattan Institute,1980s,never,8,10267,7.792
Manhattan Institute,1980s,dare,1,10267,0.974
Manhattan Institute,1980s,print,4,10267,3.896
Manhattan Institute,1980s,exactly,7,10267,6.818
Manhattan Institute,1980s,getting,1,10267,0.974
Manhattan Institute,1980s,teachout-he,2,10267,1.948
Manhattan Institute,1980s,saying,9,10267,8.766
Manhattan Institute,1980s,publicly,3,10267,2.922
Manhattan Institute,1980s,people,93,10267,90.581
Manhattan Institute,1980s,arc,55,10267,53.57
Manhattan Institute,1980s,only,26,10267,25.324
Manhattan Institute,1980s,willing,10,10267,9.74
Manhattan Institute,1980s,behind,3,10267,2.922
Manhattan Institute,1980s,closed,2,10267,1.948
Manhattan Institute,1980s,doors,3,10267,2.922
Manhattan Institute,1980s,quotation,1,10267,0.974
Manhattan Institute,1980s,particu-,1,10267,0.974
Manhattan Institute,1980s,lar-and,1,10267,0.974
Manhattan Institute,1980s,aspect,1,10267,0.974
Manhattan Institute,1980s,received,1,10267,0.974
Manhattan Institute,1980s,criticism,3,10267,2.922
Manhattan Institute,1980s,unsympathetic,1,10267,0.974
Manhattan Institute,1980s,readers-bonfire,1,10267,0.974
Manhattan Institute,1980s,nics,1,10267,0.974
Manhattan Institute,1980s,face,3,10267,2.922
Manhattan Institute,1980s,number,5,10267,4.87
Manhattan Institute,1980s,pieties,8,10267,7.792
Manhattan Institute,1980s,nature,4,10267,3.896
Manhattan Institute,1980s,ethnicity,1,10267,0.974
Manhattan Institute,1980s,virtual,1,10267,0.974
Manhattan Institute,1980s,laboratory,1,10267,0.974
Manhattan Institute,1980s,liberal,13,10267,12.662
Manhattan Institute,1980s,place,9,10267,8.766
Manhattan Institute,1980s,old-fashioned,2,10267,1.948
Manhattan Institute,1980s,assump-,3,10267,2.922
Manhattan Institute,1980s,tions,4,10267,3.896
Manhattan Institute,1980s,proper,1,10267,0.974
Manhattan Institute,1980s,role,9,10267,8.766
Manhattan Institute,1980s,carried,2,10267,1.948
Manhattan Institute,1980s,furthest,1,10267,0.974
Manhattan Institute,1980s,extremes,1,10267,0.974
Manhattan Institute,1980s,want,11,10267,10.714
Manhattan Institute,1980s,see,11,10267,10.714
Manhattan Institute,1980s,real-life,1,10267,0.974
Manhattan Institute,1980s,experiment,5,10267,4.87
Manhattan Institute,1980s,absurd,1,10267,0.974
Manhattan Institute,1980s,rent,6,10267,5.844
Manhattan Institute,1980s,control,19,10267,18.506
Manhattan Institute,1980s,really,16,10267,15.584
Manhattan Institute,1980s,works,2,10267,1.948
Manhattan Institute,1980s,systemalically,1,10267,0.974
Manhattan Institute,1980s,put,3,10267,2.922
Manhattan Institute,1980s,practice,3,10267,2.922
Manhattan Institute,1980s,go,16,10267,15.584
Manhattan Institute,1980s,merely,6,10267,5.844
Manhattan Institute,1980s,suggest,4,10267,3.896
Manhattan Institute,1980s,might,17,10267,16.558
Manhattan Institute,1980s,untrue,1,10267,0.974
Manhattan Institute,1980s,immediately,1,10267,0.974
Manhattan Institute,1980s,found,5,10267,4.87
Manhattan Institute,1980s,guilty,1,10267,0.974
Manhattan Institute,1980s,first-degree,1,10267,0.974
Manhattan Institute,1980s,heresy,1,10267,0.974
Manhattan Institute,1980s,great,19,10267,18.506
Manhattan Institute,1980s,ethnic-,1,10267,0.974
Manhattan Institute,1980s,ity,1,10267,0.974
Manhattan Institute,1980s,though,14,10267,13.636
Manhattan Institute,1980s,subscribe,2,10267,1.948
Manhattan Institute,1980s,whole-,1,10267,0.974
Manhattan Institute,1980s,heartedly,1,10267,0.974
Manhattan Institute,1980s,notion,4,10267,3.896
Manhattan Institute,1980s,ethnic,9,10267,8.766
Manhattan Institute,1980s,identity,2,10267,1.948
Manhattan Institute,1980s,simply,10,10267,9.74
Manhattan Institute,1980s,socially,3,10267,2.922
Manhattan Institute,1980s,acceptable,1,10267,0.974
Manhattan Institute,1980s,draw,3,10267,2.922
Manhattan Institute,1980s,general,9,10267,8.766
Manhattan Institute,1980s,conclusions,1,10267,0.974
Manhattan Institute,1980s,predictable,2,10267,1.948
Manhattan Institute,1980s,behavior,18,10267,17.532
Manhattan Institute,1980s,groups,14,10267,13.636
Manhattan Institute,1980s,set,5,10267,4.87
Manhattan Institute,1980s,given,8,10267,7.792
Manhattan Institute,1980s,circumstances,2,10267,1.948
Manhattan Institute,1980s,docs,17,10267,16.558
Manhattan Institute,1980s,dares,1,10267,0.974
Manhattan Institute,1980s,negative,1,10267,0.974
Manhattan Institute,1980s,conclusions-something,1,10267,0.974
Manhattan Institute,1980s,long,5,10267,4.87
Manhattan Institute,1980s,impossible,1,10267,0.974
Manhattan Institute,1980s,without,16,10267,15.584
Manhattan Institute,1980s,ostracized,1,10267,0.974
Manhattan Institute,1980s,murray-the,2,10267,1.948
Manhattan Institute,1980s,particular,10,10267,9.74
Manhattan Institute,1980s,piety,3,10267,2.922
Manhattan Institute,1980s,treads,1,10267,0.974
Manhattan Institute,1980s,unforgivably,1,10267,0.974
Manhattan Institute,1980s,lo,27,10267,26.298
Manhattan Institute,1980s,blacks,6,10267,5.844
Manhattan Institute,1980s,whites,4,10267,3.896
Manhattan Institute,1980s,says,8,10267,7.792
Manhattan Institute,1980s,loud,1,10267,0.974
Manhattan Institute,1980s,said,7,10267,6.818
Manhattan Institute,1980s,cocktail,1,10267,0.974
Manhattan Institute,1980s,parties,3,10267,2.922
Manhattan Institute,1980s,years,15,10267,14.61
Manhattan Institute,1980s,talks,1,10267,0.974
Manhattan Institute,1980s,massive,1,10267,0.974
Manhattan Institute,1980s,racial,6,10267,5.844
Manhattan Institute,1980s,antagonism,1,10267,0.974
Manhattan Institute,1980s,something,16,10267,15.584
Manhattan Institute,1980s,nobody,6,10267,5.844
Manhattan Institute,1980s,talk,7,10267,6.818
Manhattan Institute,1980s,back,7,10267,6.818
Manhattan Institute,1980s,mid-,2,10267,1.948
Manhattan Institute,1980s,s,15,10267,14.61
Manhattan Institute,1980s,evaluating,1,10267,0.974
Manhattan Institute,1980s,program,5,10267,4.87
Manhattan Institute,1980s,juvenile,5,10267,4.87
Manhattan Institute,1980s,delinquency,1,10267,0.974
Manhattan Institute,1980s,became,5,10267,4.87
Manhattan Institute,1980s,acquainted,1,10267,0.974
Manhattan Institute,1980s,statistics,3,10267,2.922
Manhattan Institute,1980s,gets,3,10267,2.922
Manhattan Institute,1980s,arrested,4,10267,3.896
Manhattan Institute,1980s,crime,36,10267,35.064
Manhattan Institute,1980s,saw,5,10267,4.87
Manhattan Institute,1980s,predomi-,1,10267,0.974
Manhattan Institute,1980s,nantly,1,10267,0.974
Manhattan Institute,1980s,black,37,10267,36.038
Manhattan Institute,1980s,phenomenon,2,10267,1.948
Manhattan Institute,1980s,rates,6,10267,5.844
Manhattan Institute,1980s,skyrocketing,1,10267,0.974
Manhattan Institute,1980s,looking,5,10267,4.87
Manhattan Institute,1980s,numbers,2,10267,1.948
Manhattan Institute,1980s,myself,1,10267,0.974
Manhattan Institute,1980s,explosive,1,10267,0.974
Manhattan Institute,1980s,can't,9,10267,8.766
Manhattan Institute,1980s,ignore,1,10267,0.974
Manhattan Institute,1980s,it's,38,10267,37.012
Manhattan Institute,1980s,going,22,10267,21.428
Manhattan Institute,1980s,hit,2,10267,1.948
Manhattan Institute,1980s,fan,2,10267,1.948
Manhattan Institute,1980s,become,14,10267,13.636
Manhattan Institute,1980s,common,4,10267,3.896
Manhattan Institute,1980s,knowledge,5,10267,4.87
Manhattan Institute,1980s,well,19,10267,18.506
Manhattan Institute,1980s,privately,1,10267,0.974
Manhattan Institute,1980s,no-,1,10267,0.974
Manhattan Institute,1980s,body,1,10267,0.974
Manhattan Institute,1980s,ever,7,10267,6.818
Manhattan Institute,1980s,officially,1,10267,0.974
Manhattan Institute,1980s,done,10,10267,9.74
Manhattan Institute,1980s,magnet-the,4,10267,3.896
Manhattan Institute,1980s,broken,12,10267,11.688
Manhattan Institute,1980s,fact,20,10267,19.48
Manhattan Institute,1980s,average,3,10267,2.922
Manhattan Institute,1980s,middle-,1,10267,0.974
Manhattan Institute,1980s,class,9,10267,8.766
Manhattan Institute,1980s,white,12,10267,11.688
Manhattan Institute,1980s,worried,1,10267,0.974
Manhattan Institute,1980s,note,2,10267,1.948
Manhattan Institute,1980s,bonfire's,3,10267,2.922
Manhattan Institute,1980s,recurrent,1,10267,0.974
Manhattan Institute,1980s,theme,3,10267,2.922
Manhattan Institute,1980s,man,10,10267,9.74
Manhattan Institute,1980s,restored,1,10267,0.974
Manhattan Institute,1980s,primal,1,10267,0.974
Manhattan Institute,1980s,maleness,1,10267,0.974
Manhattan Institute,1980s,taking,5,10267,4.87
Manhattan Institute,1980s,triumph-,1,10267,0.974
Manhattan Institute,1980s,ing,5,10267,4.87
Manhattan Institute,1980s,young,9,10267,8.766
Manhattan Institute,1980s,olson-with,1,10267,0.974
Manhattan Institute,1980s,aid,3,10267,2.922
Manhattan Institute,1980s,several,5,10267,4.87
Manhattan Institute,1980s,thousand,3,10267,2.922
Manhattan Institute,1980s,pounds,1,10267,0.974
Manhattan Institute,1980s,metal,1,10267,0.974
Manhattan Institute,1980s,magnet-well,1,10267,0.974
Manhattan Institute,1980s,point,12,10267,11.688
Manhattan Institute,1980s,sherman,15,10267,14.61
Manhattan Institute,1980s,mccoy's,9,10267,8.766
Manhattan Institute,1980s,mercedes,1,10267,0.974
Manhattan Institute,1980s,extension,1,10267,0.974
Manhattan Institute,1980s,fantasy,1,10267,0.974
Manhattan Institute,1980s,confessed,1,10267,0.974
Manhattan Institute,1980s,private,11,10267,10.714
Manhattan Institute,1980s,before,6,10267,5.844
Manhattan Institute,1980s,wriston-tom,1,10267,0.974
Manhattan Institute,1980s,probably,10,10267,9.74
Manhattan Institute,1980s,around,7,10267,6.818
Manhattan Institute,1980s,gelling,1,10267,0.974
Manhattan Institute,1980s,angry,4,10267,3.896
Manhattan Institute,1980s,him,17,10267,16.558
Manhattan Institute,1980s,teachout-but,3,10267,2.922
Manhattan Institute,1980s,lots,2,10267,1.948
Manhattan Institute,1980s,terribly,2,10267,1.948
Manhattan Institute,1980s,wriston-they're,1,10267,0.974
Manhattan Institute,1980s,vocally,1,10267,0.974
Manhattan Institute,1980s,any-,1,10267,0.974
Manhattan Institute,1980s,one,80,10267,77.92
Manhattan Institute,1980s,else,7,10267,6.818
Manhattan Institute,1980s,wrillen,2,10267,1.948
Manhattan Institute,1980s,al,4,10267,3.896
Manhattan Institute,1980s,sharpton,3,10267,2.922
Manhattan Institute,1980s,denouncing,1,10267,0.974
Manhattan Institute,1980s,evening,1,10267,0.974
Manhattan Institute,1980s,maybe,2,10267,1.948
Manhattan Institute,1980s,happened,4,10267,3.896
Manhattan Institute,1980s,certainly,11,10267,10.714
Manhattan Institute,1980s,haven't,2,10267,1.948
Manhattan Institute,1980s,seen,5,10267,4.87
Manhattan Institute,1980s,extraordinary,2,10267,1.948
Manhattan Institute,1980s,skills,1,10267,0.974
Manhattan Institute,1980s,teachout-to,1,10267,0.974
Manhattan Institute,1980s,extcnl,1,10267,0.974
Manhattan Institute,1980s,true,9,10267,8.766
Manhattan Institute,1980s,large,10,10267,9.74
Manhattan Institute,1980s,part,15,10267,14.61
Manhattan Institute,1980s,fictional,1,10267,0.974
Manhattan Institute,1980s,trcatmenl,1,10267,0.974
Manhattan Institute,1980s,puts,3,10267,2.922
Manhattan Institute,1980s,kind,20,10267,19.48
Manhattan Institute,1980s,prophylactic,1,10267,0.974
Manhattan Institute,1980s,distance,1,10267,0.974
Manhattan Institute,1980s,between,13,10267,12.662
Manhattan Institute,1980s,action,8,10267,7.792
Manhattan Institute,1980s,reality,6,10267,5.844
Manhattan Institute,1980s,everyday,1,10267,0.974
Manhattan Institute,1980s,huber-another,1,10267,0.974
Manhattan Institute,1980s,reason,9,10267,8.766
Manhattan Institute,1980s,trig-,1,10267,0.974
Manhattan Institute,1980s,gered,1,10267,0.974
Manhattan Institute,1980s,much,29,10267,28.246
Manhattan Institute,1980s,antipathy,1,10267,0.974
Manhattan Institute,1980s,expected,4,10267,3.896
Manhattan Institute,1980s,precisely,3,10267,2.922
Manhattan Institute,1980s,exclusively,2,10267,1.948
Manhattan Institute,1980s,vanity,2,10267,1.948
Manhattan Institute,1980s,black-white,2,10267,1.948
Manhattan Institute,1980s,interestingly,1,10267,0.974
Manhattan Institute,1980s,enough,4,10267,3.896
Manhattan Institute,1980s,critics,1,10267,0.974
Manhattan Institute,1980s,read,5,10267,4.87
Manhattan Institute,1980s,deals,3,10267,2.922
Manhattan Institute,1980s,poor,9,10267,8.766
Manhattan Institute,1980s,system,32,10267,31.168
Manhattan Institute,1980s,wealthy,3,10267,2.922
Manhattan Institute,1980s,doesn't,12,10267,11.688
Manhattan Institute,1980s,capture,1,10267,0.974
Manhattan Institute,1980s,spirit,1,10267,0.974
Manhattan Institute,1980s,savages,1,10267,0.974
Manhattan Institute,1980s,right,18,10267,17.532
Manhattan Institute,1980s,left,6,10267,5.844
Manhattan Institute,1980s,center,4,10267,3.896
Manhattan Institute,1980s,wriston-that's,1,10267,0.974
Manhattan Institute,1980s,nobody's,2,10267,1.948
Manhattan Institute,1980s,attacking,1,10267,0.974
Manhattan Institute,1980s,hasn't,2,10267,1.948
Manhattan Institute,1980s,singled,1,10267,0.974
Manhattan Institute,1980s,group-he,1,10267,0.974
Manhattan Institute,1980s,even-,1,10267,0.974
Manhattan Institute,1980s,handedly,1,10267,0.974
Manhattan Institute,1980s,exposes,1,10267,0.974
Manhattan Institute,1980s,vigilante-i,6,10267,5.844
Manhattan Institute,1980s,think,36,10267,35.064
Manhattan Institute,1980s,correctly,3,10267,2.922
Manhattan Institute,1980s,as-,1,10267,0.974
Manhattan Institute,1980s,sessed,1,10267,0.974
Manhattan Institute,1980s,certain,9,10267,8.766
Manhattan Institute,1980s,facts,1,10267,0.974
Manhattan Institute,1980s,concluded,2,10267,1.948
Manhattan Institute,1980s,old,6,10267,5.844
Manhattan Institute,1980s,beginning,1,10267,0.974
Manhattan Institute,1980s,fall,2,10267,1.948
Manhattan Institute,1980s,weight,1,10267,0.974
Manhattan Institute,1980s,message,3,10267,2.922
Manhattan Institute,1980s,late,3,10267,2.922
Manhattan Institute,1980s,s-,1,10267,0.974
