source,decade,rank,term,count,tokens,per10k
Manhattan Institute,1980s,1,new,111,10267,108.113
Manhattan Institute,1980s,2,people,93,10267,90.581
Manhattan Institute,1980s,3,york,90,10267,87.659
Manhattan Institute,1980s,4,police,87,10267,84.738
Manhattan Institute,1980s,5,one,80,10267,77.92
Manhattan Institute,1980s,6,book,62,10267,60.388
Manhattan Institute,1980s,7,city,56,10267,54.544
Manhattan Institute,1980s,8,walter,56,10267,54.544
Manhattan Institute,1980s,9,arc,55,10267,53.57
Manhattan Institute,1980s,10,bonfire,53,10267,51.622
Manhattan Institute,1980s,11,wolfe,49,10267,47.726
Manhattan Institute,1980s,12,terry,44,10267,42.856
Manhattan Institute,1980s,13,it's,38,10267,37.012
Manhattan Institute,1980s,14,would,37,10267,36.038
Manhattan Institute,1980s,15,black,37,10267,36.038
Manhattan Institute,1980s,16,like,36,10267,35.064
Manhattan Institute,1980s,17,crime,36,10267,35.064
Manhattan Institute,1980s,18,think,36,10267,35.064
Manhattan Institute,1980s,19,community,36,10267,35.064
Manhattan Institute,1980s,20,many,33,10267,32.142
Manhattan Institute,1980s,21,other,33,10267,32.142
Manhattan Institute,1980s,22,order,32,10267,31.168
Manhattan Institute,1980s,23,system,32,10267,31.168
Manhattan Institute,1980s,24,make,32,10267,31.168
Manhattan Institute,1980s,25,social,31,10267,30.194
Manhattan Institute,1980s,26,law,31,10267,30.194
Manhattan Institute,1980s,27,sense,30,10267,29.22
Manhattan Institute,1980s,28,much,29,10267,28.246
Manhattan Institute,1980s,29,mccoy,29,10267,28.246
Manhattan Institute,1980s,30,myron,28,10267,27.272
Manhattan Institute,1980s,31,don't,28,10267,27.272
Manhattan Institute,1980s,32,say,27,10267,26.298
Manhattan Institute,1980s,33,richard,27,10267,26.298
Manhattan Institute,1980s,34,lo,27,10267,26.298
Manhattan Institute,1980s,35,way,27,10267,26.298
Manhattan Institute,1980s,36,also,26,10267,25.324
Manhattan Institute,1980s,37,only,26,10267,25.324
Manhattan Institute,1980s,38,legal,25,10267,24.35
Manhattan Institute,1980s,39,know,25,10267,24.35
Manhattan Institute,1980s,40,public,24,10267,23.376
Manhattan Institute,1980s,41,street,24,10267,23.376
Manhattan Institute,1980s,42,cer,24,10267,23.376
Manhattan Institute,1980s,43,charles,23,10267,22.402
Manhattan Institute,1980s,44,things,23,10267,22.402
Manhattan Institute,1980s,45,cers,23,10267,22.402
Manhattan Institute,1980s,46,going,22,10267,21.428
Manhattan Institute,1980s,47,wolfe's,21,10267,20.454
Manhattan Institute,1980s,48,even,21,10267,20.454
Manhattan Institute,1980s,49,peter,21,10267,20.454
Manhattan Institute,1980s,50,fact,20,10267,19.48
Manhattan Institute,1980s,51,kind,20,10267,19.48
Manhattan Institute,1980s,52,patrol,20,10267,19.48
Manhattan Institute,1980s,53,neighborhood,20,10267,19.48
Manhattan Institute,1980s,54,novel,19,10267,18.506
Manhattan Institute,1980s,55,that's,19,10267,18.506
Manhattan Institute,1980s,56,control,19,10267,18.506
Manhattan Institute,1980s,57,great,19,10267,18.506
Manhattan Institute,1980s,58,well,19,10267,18.506
Manhattan Institute,1980s,59,good,18,10267,17.532
Manhattan Institute,1980s,60,behavior,18,10267,17.532
Manhattan Institute,1980s,61,right,18,10267,17.532
Manhattan Institute,1980s,62,neighborhoods,18,10267,17.532
Manhattan Institute,1980s,63,life,17,10267,16.558
Manhattan Institute,1980s,64,come,17,10267,16.558
Manhattan Institute,1980s,65,take,17,10267,16.558
Manhattan Institute,1980s,66,might,17,10267,16.558
Manhattan Institute,1980s,67,docs,17,10267,16.558
Manhattan Institute,1980s,68,him,17,10267,16.558
Manhattan Institute,1980s,69,there's,17,10267,16.558
Manhattan Institute,1980s,70,citizens,17,10267,16.558
Manhattan Institute,1980s,71,manhattan,16,10267,15.584
Manhattan Institute,1980s,72,world,16,10267,15.584
Manhattan Institute,1980s,73,really,16,10267,15.584
Manhattan Institute,1980s,74,go,16,10267,15.584
Manhattan Institute,1980s,75,without,16,10267,15.584
Manhattan Institute,1980s,76,something,16,10267,15.584
Manhattan Institute,1980s,77,now,16,10267,15.584
Manhattan Institute,1980s,78,foot,16,10267,15.584
Manhattan Institute,1980s,79,vanities,15,10267,14.61
Manhattan Institute,1980s,80,years,15,10267,14.61
Manhattan Institute,1980s,81,s,15,10267,14.61
Manhattan Institute,1980s,82,sherman,15,10267,14.61
Manhattan Institute,1980s,83,part,15,10267,14.61
Manhattan Institute,1980s,84,he's,15,10267,14.61
Manhattan Institute,1980s,85,end,15,10267,14.61
Manhattan Institute,1980s,86,fear,15,10267,14.61
Manhattan Institute,1980s,87,persons,15,10267,14.61
Manhattan Institute,1980s,88,tom,14,10267,13.636
Manhattan Institute,1980s,89,relations,14,10267,13.636
Manhattan Institute,1980s,90,away,14,10267,13.636
Manhattan Institute,1980s,91,though,14,10267,13.636
Manhattan Institute,1980s,92,groups,14,10267,13.636
Manhattan Institute,1980s,93,become,14,10267,13.636
Manhattan Institute,1980s,94,time,14,10267,13.636
Manhattan Institute,1980s,95,seems,14,10267,13.636
Manhattan Institute,1980s,96,made,14,10267,13.636
Manhattan Institute,1980s,97,change,14,10267,13.636
Manhattan Institute,1980s,98,person,14,10267,13.636
Manhattan Institute,1980s,99,problem,14,10267,13.636
Manhattan Institute,1980s,100,lhe,14,10267,13.636
Manhattan Institute,2000s,1,s,517,44140,117.127
Manhattan Institute,2000s,2,would,345,44140,78.16
Manhattan Institute,2000s,3,rule,330,44140,74.762
Manhattan Institute,2000s,4,legal,301,44140,68.192
Manhattan Institute,2000s,5,litigation,235,44140,53.24
Manhattan Institute,2000s,6,t,224,44140,50.748
Manhattan Institute,2000s,7,pays,222,44140,50.295
Manhattan Institute,2000s,8,cases,211,44140,47.802
Manhattan Institute,2000s,9,loser,206,44140,46.67
Manhattan Institute,2000s,10,american,205,44140,46.443
Manhattan Institute,2000s,11,new,191,44140,43.271
Manhattan Institute,2000s,12,law,185,44140,41.912
Manhattan Institute,2000s,13,trial,180,44140,40.779
Manhattan Institute,2000s,14,other,179,44140,40.553
Manhattan Institute,2000s,15,loser-pays,178,44140,40.326
Manhattan Institute,2000s,16,system,167,44140,37.834
Manhattan Institute,2000s,17,lawyers,156,44140,35.342
Manhattan Institute,2000s,18,cost,155,44140,35.116
Manhattan Institute,2000s,19,costs,153,44140,34.662
Manhattan Institute,2000s,20,justice,149,44140,33.756
Manhattan Institute,2000s,21,police,149,44140,33.756
Manhattan Institute,2000s,22,defendant,144,44140,32.623
Manhattan Institute,2000s,23,many,142,44140,32.17
Manhattan Institute,2000s,24,case,142,44140,32.17
Manhattan Institute,2000s,25,civil,140,44140,31.717
Manhattan Institute,2000s,26,settlement,136,44140,30.811
Manhattan Institute,2000s,27,only,135,44140,30.585
Manhattan Institute,2000s,28,percent,132,44140,29.905
Manhattan Institute,2000s,29,state,131,44140,29.678
Manhattan Institute,2000s,30,one,130,44140,29.452
Manhattan Institute,2000s,31,c,130,44140,29.452
Manhattan Institute,2000s,32,also,129,44140,29.225
Manhattan Institute,2000s,33,students,129,44140,29.225
Manhattan Institute,2000s,34,p,124,44140,28.092
Manhattan Institute,2000s,35,fees,124,44140,28.092
Manhattan Institute,2000s,36,n,121,44140,27.413
Manhattan Institute,2000s,37,plaintiffs,118,44140,26.733
Manhattan Institute,2000s,38,u,116,44140,26.28
Manhattan Institute,2000s,39,plaintiff,116,44140,26.28
Manhattan Institute,2000s,40,suits,115,44140,26.053
Manhattan Institute,2000s,41,city,112,44140,25.374
Manhattan Institute,2000s,42,york,110,44140,24.921
Manhattan Institute,2000s,43,report,105,44140,23.788
Manhattan Institute,2000s,44,settle,102,44140,23.108
Manhattan Institute,2000s,45,e,100,44140,22.655
Manhattan Institute,2000s,46,small,100,44140,22.655
Manhattan Institute,2000s,47,claims,98,44140,22.202
Manhattan Institute,2000s,48,even,97,44140,21.976
Manhattan Institute,2000s,49,people,96,44140,21.749
Manhattan Institute,2000s,50,insurance,96,44140,21.749
Manhattan Institute,2000s,51,lawsuits,94,44140,21.296
Manhattan Institute,2000s,52,school,94,44140,21.296
Manhattan Institute,2000s,53,crime,92,44140,20.843
Manhattan Institute,2000s,54,part,89,44140,20.163
Manhattan Institute,2000s,55,black,88,44140,19.937
Manhattan Institute,2000s,56,states,86,44140,19.483
Manhattan Institute,2000s,57,defendants,86,44140,19.483
Manhattan Institute,2000s,58,m,85,44140,19.257
Manhattan Institute,2000s,59,nuisance,84,44140,19.03
Manhattan Institute,2000s,60,make,82,44140,18.577
Manhattan Institute,2000s,61,less,80,44140,18.124
Manhattan Institute,2000s,62,number,77,44140,17.444
Manhattan Institute,2000s,63,j,76,44140,17.218
Manhattan Institute,2000s,64,schools,76,44140,17.218
Manhattan Institute,2000s,65,public,75,44140,16.991
Manhattan Institute,2000s,66,much,75,44140,16.991
Manhattan Institute,2000s,67,plainti,75,44140,16.991
Manhattan Institute,2000s,68,class,74,44140,16.765
Manhattan Institute,2000s,69,well,72,44140,16.312
Manhattan Institute,2000s,70,years,72,44140,16.312
Manhattan Institute,2000s,71,party,71,44140,16.085
Manhattan Institute,2000s,72,local,70,44140,15.859
Manhattan Institute,2000s,73,high,68,44140,15.406
Manhattan Institute,2000s,74,time,68,44140,15.406
Manhattan Institute,2000s,75,alaska,68,44140,15.406
Manhattan Institute,2000s,76,like,67,44140,15.179
Manhattan Institute,2000s,77,rates,67,44140,15.179
Manhattan Institute,2000s,78,see,65,44140,14.726
Manhattan Institute,2000s,79,lower,65,44140,14.726
Manhattan Institute,2000s,80,attorneys,65,44140,14.726
Manhattan Institute,2000s,81,reform,65,44140,14.726
Manhattan Institute,2000s,82,figure,65,44140,14.726
Manhattan Institute,2000s,83,ing,65,44140,14.726
Manhattan Institute,2000s,84,order,63,44140,14.273
Manhattan Institute,2000s,85,lawyer,63,44140,14.273
Manhattan Institute,2000s,86,need,63,44140,14.273
Manhattan Institute,2000s,87,evidence,62,44140,14.046
Manhattan Institute,2000s,88,fee,62,44140,14.046
Manhattan Institute,2000s,89,tort,61,44140,13.82
Manhattan Institute,2000s,90,reduce,61,44140,13.82
Manhattan Institute,2000s,91,america,60,44140,13.593
Manhattan Institute,2000s,92,now,59,44140,13.367
Manhattan Institute,2000s,93,jury,59,44140,13.367
Manhattan Institute,2000s,94,large,58,44140,13.14
Manhattan Institute,2000s,95,pay,58,44140,13.14
Manhattan Institute,2000s,96,united,57,44140,12.913
Manhattan Institute,2000s,97,work,57,44140,12.913
Manhattan Institute,2000s,98,policing,57,44140,12.913
Manhattan Institute,2000s,99,los,56,44140,12.687
Manhattan Institute,2000s,100,english,56,44140,12.687
Manhattan Institute,2010s,1,s,2290,151151,151.504
Manhattan Institute,2010s,2,new,1497,151151,99.04
Manhattan Institute,2010s,3,city,1236,151151,81.773
Manhattan Institute,2010s,4,york,939,151151,62.123
Manhattan Institute,2010s,5,area,754,151151,49.884
Manhattan Institute,2010s,6,poverty,749,151151,49.553
Manhattan Institute,2010s,7,income,743,151151,49.156
Manhattan Institute,2010s,8,school,698,151151,46.179
Manhattan Institute,2010s,9,statistical,673,151151,44.525
Manhattan Institute,2010s,10,would,542,151151,35.858
Manhattan Institute,2010s,11,public,523,151151,34.601
Manhattan Institute,2010s,12,other,446,151151,29.507
Manhattan Institute,2010s,13,students,428,151151,28.316
Manhattan Institute,2010s,14,metropolitan,407,151151,26.927
Manhattan Institute,2010s,15,see,403,151151,26.662
Manhattan Institute,2010s,16,state,402,151151,26.596
Manhattan Institute,2010s,17,also,392,151151,25.934
Manhattan Institute,2010s,18,schools,373,151151,24.677
Manhattan Institute,2010s,19,figure,362,151151,23.95
Manhattan Institute,2010s,20,reform,362,151151,23.95
Manhattan Institute,2010s,21,one,360,151151,23.817
Manhattan Institute,2010s,22,housing,360,151151,23.817
Manhattan Institute,2010s,23,high,354,151151,23.42
Manhattan Institute,2010s,24,p,345,151151,22.825
Manhattan Institute,2010s,25,u,343,151151,22.693
Manhattan Institute,2010s,26,nuclear,338,151151,22.362
Manhattan Institute,2010s,27,cities,337,151151,22.296
Manhattan Institute,2010s,28,children,332,151151,21.965
Manhattan Institute,2010s,29,welfare,318,151151,21.039
Manhattan Institute,2010s,30,year,316,151151,20.906
Manhattan Institute,2010s,31,policy,315,151151,20.84
Manhattan Institute,2010s,32,report,313,151151,20.708
Manhattan Institute,2010s,33,micropolitan,313,151151,20.708
Manhattan Institute,2010s,34,data,306,151151,20.245
Manhattan Institute,2010s,35,only,299,151151,19.782
Manhattan Institute,2010s,36,www,298,151151,19.715
Manhattan Institute,2010s,37,benefits,290,151151,19.186
Manhattan Institute,2010s,38,shareholder,288,151151,19.054
Manhattan Institute,2010s,39,families,286,151151,18.921
Manhattan Institute,2010s,40,many,283,151151,18.723
Manhattan Institute,2010s,41,years,280,151151,18.525
Manhattan Institute,2010s,42,http,279,151151,18.458
Manhattan Institute,2010s,43,health,270,151151,17.863
Manhattan Institute,2010s,44,proposals,268,151151,17.731
Manhattan Institute,2010s,45,federal,265,151151,17.532
Manhattan Institute,2010s,46,student,257,151151,17.003
Manhattan Institute,2010s,47,government,256,151151,16.937
Manhattan Institute,2010s,48,gas,251,151151,16.606
Manhattan Institute,2010s,49,even,250,151151,16.54
Manhattan Institute,2010s,50,power,247,151151,16.341
Manhattan Institute,2010s,51,among,244,151151,16.143
Manhattan Institute,2010s,52,services,242,151151,16.01
Manhattan Institute,2010s,53,percent,240,151151,15.878
Manhattan Institute,2010s,54,survey,239,151151,15.812
Manhattan Institute,2010s,55,cost,237,151151,15.68
Manhattan Institute,2010s,56,market,236,151151,15.614
Manhattan Institute,2010s,57,local,236,151151,15.614
Manhattan Institute,2010s,58,time,233,151151,15.415
Manhattan Institute,2010s,59,less,228,151151,15.084
Manhattan Institute,2010s,60,higher,221,151151,14.621
Manhattan Institute,2010s,61,university,221,151151,14.621
Manhattan Institute,2010s,62,education,219,151151,14.489
Manhattan Institute,2010s,63,department,214,151151,14.158
Manhattan Institute,2010s,64,com,210,151151,13.893
Manhattan Institute,2010s,65,average,208,151151,13.761
Manhattan Institute,2010s,66,between,208,151151,13.761
Manhattan Institute,2010s,67,number,208,151151,13.761
Manhattan Institute,2010s,68,energy,208,151151,13.761
Manhattan Institute,2010s,69,discipline,208,151151,13.761
Manhattan Institute,2010s,70,research,207,151151,13.695
Manhattan Institute,2010s,71,use,202,151151,13.364
Manhattan Institute,2010s,72,news,202,151151,13.364
Manhattan Institute,2010s,73,rates,201,151151,13.298
Manhattan Institute,2010s,74,population,200,151151,13.232
Manhattan Institute,2010s,75,households,199,151151,13.166
Manhattan Institute,2010s,76,single,197,151151,13.033
Manhattan Institute,2010s,77,costs,197,151151,13.033
Manhattan Institute,2010s,78,system,196,151151,12.967
Manhattan Institute,2010s,79,t,196,151151,12.967
Manhattan Institute,2010s,80,tax,196,151151,12.967
Manhattan Institute,2010s,81,plants,196,151151,12.967
Manhattan Institute,2010s,82,two,194,151151,12.835
Manhattan Institute,2010s,83,private,193,151151,12.769
Manhattan Institute,2010s,84,pdf,192,151151,12.703
Manhattan Institute,2010s,85,census,192,151151,12.703
Manhattan Institute,2010s,86,rate,191,151151,12.636
Manhattan Institute,2010s,87,hospital,191,151151,12.636
Manhattan Institute,2010s,88,states,190,151151,12.57
Manhattan Institute,2010s,89,economic,188,151151,12.438
Manhattan Institute,2010s,90,program,188,151151,12.438
Manhattan Institute,2010s,91,through,187,151151,12.372
Manhattan Institute,2010s,92,per,186,151151,12.306
Manhattan Institute,2010s,93,increase,185,151151,12.239
Manhattan Institute,2010s,94,companies,182,151151,12.041
Manhattan Institute,2010s,95,proxy,176,151151,11.644
Manhattan Institute,2010s,96,center,173,151151,11.446
Manhattan Institute,2010s,97,well,173,151151,11.446
Manhattan Institute,2010s,98,e,172,151151,11.379
Manhattan Institute,2010s,99,estimates,172,151151,11.379
Manhattan Institute,2010s,100,college,171,151151,11.313
Manhattan Institute,2020s,1,s,1260,88748,141.975
Manhattan Institute,2020s,2,new,906,88748,102.087
Manhattan Institute,2020s,3,state,677,88748,76.283
Manhattan Institute,2020s,4,public,583,88748,65.692
Manhattan Institute,2020s,5,health,530,88748,59.72
Manhattan Institute,2020s,6,york,512,88748,57.691
Manhattan Institute,2020s,7,city,444,88748,50.029
Manhattan Institute,2020s,8,ai,430,88748,48.452
Manhattan Institute,2020s,9,housing,414,88748,46.649
Manhattan Institute,2020s,10,would,395,88748,44.508
Manhattan Institute,2020s,11,u,354,88748,39.888
Manhattan Institute,2020s,12,policy,344,88748,38.761
Manhattan Institute,2020s,13,schools,343,88748,38.649
Manhattan Institute,2020s,14,tax,320,88748,36.057
Manhattan Institute,2020s,15,inflation,318,88748,35.832
Manhattan Institute,2020s,16,services,295,88748,33.24
Manhattan Institute,2020s,17,other,290,88748,32.677
Manhattan Institute,2020s,18,states,289,88748,32.564
Manhattan Institute,2020s,19,education,284,88748,32.001
Manhattan Institute,2020s,20,federal,268,88748,30.198
Manhattan Institute,2020s,21,care,261,88748,29.409
Manhattan Institute,2020s,22,medicaid,261,88748,29.409
Manhattan Institute,2020s,23,tma,246,88748,27.719
Manhattan Institute,2020s,24,college,245,88748,27.606
Manhattan Institute,2020s,25,also,241,88748,27.156
Manhattan Institute,2020s,26,private,239,88748,26.93
Manhattan Institute,2020s,27,income,239,88748,26.93
Manhattan Institute,2020s,28,students,232,88748,26.141
Manhattan Institute,2020s,29,ivy,232,88748,26.141
Manhattan Institute,2020s,30,social,231,88748,26.029
Manhattan Institute,2020s,31,only,223,88748,25.127
Manhattan Institute,2020s,32,one,219,88748,24.677
Manhattan Institute,2020s,33,higher,218,88748,24.564
Manhattan Institute,2020s,34,medical,217,88748,24.451
Manhattan Institute,2020s,35,school,215,88748,24.226
Manhattan Institute,2020s,36,law,179,88748,20.169
Manhattan Institute,2020s,37,in-state,171,88748,19.268
Manhattan Institute,2020s,38,figure,170,88748,19.155
Manhattan Institute,2020s,39,many,168,88748,18.93
Manhattan Institute,2020s,40,cost,167,88748,18.817
Manhattan Institute,2020s,41,national,151,88748,17.014
Manhattan Institute,2020s,42,section,150,88748,16.902
Manhattan Institute,2020s,43,among,149,88748,16.789
Manhattan Institute,2020s,44,report,145,88748,16.338
Manhattan Institute,2020s,45,even,144,88748,16.226
Manhattan Institute,2020s,46,university,144,88748,16.226
Manhattan Institute,2020s,47,data,143,88748,16.113
Manhattan Institute,2020s,48,high,141,88748,15.888
Manhattan Institute,2020s,49,government,138,88748,15.55
Manhattan Institute,2020s,50,much,138,88748,15.55
Manhattan Institute,2020s,51,year,137,88748,15.437
Manhattan Institute,2020s,52,research,134,88748,15.099
Manhattan Institute,2020s,53,psh,133,88748,14.986
Manhattan Institute,2020s,54,top,133,88748,14.986
Manhattan Institute,2020s,55,less,133,88748,14.986
Manhattan Institute,2020s,56,costs,133,88748,14.986
Manhattan Institute,2020s,57,nyc,132,88748,14.874
Manhattan Institute,2020s,58,program,130,88748,14.648
Manhattan Institute,2020s,59,benefits,130,88748,14.648
Manhattan Institute,2020s,60,leaders,128,88748,14.423
Manhattan Institute,2020s,61,price,128,88748,14.423
Manhattan Institute,2020s,62,two,127,88748,14.31
Manhattan Institute,2020s,63,american,127,88748,14.31
Manhattan Institute,2020s,64,flagship,126,88748,14.198
Manhattan Institute,2020s,65,gender,122,88748,13.747
Manhattan Institute,2020s,66,universities,122,88748,13.747
Manhattan Institute,2020s,67,people,120,88748,13.521
Manhattan Institute,2020s,68,likely,119,88748,13.409
Manhattan Institute,2020s,69,years,118,88748,13.296
Manhattan Institute,2020s,70,economic,117,88748,13.183
Manhattan Institute,2020s,71,support,117,88748,13.183
Manhattan Institute,2020s,72,institute,116,88748,13.071
Manhattan Institute,2020s,73,al,116,88748,13.071
Manhattan Institute,2020s,74,change,113,88748,12.733
Manhattan Institute,2020s,75,see,112,88748,12.62
Manhattan Institute,2020s,76,et,112,88748,12.62
Manhattan Institute,2020s,77,development,110,88748,12.395
Manhattan Institute,2020s,78,degree,109,88748,12.282
Manhattan Institute,2020s,79,index,109,88748,12.282
Manhattan Institute,2020s,80,first,108,88748,12.169
Manhattan Institute,2020s,81,like,108,88748,12.169
Manhattan Institute,2020s,82,family,107,88748,12.057
Manhattan Institute,2020s,83,members,107,88748,12.057
Manhattan Institute,2020s,84,texas,107,88748,12.057
Manhattan Institute,2020s,85,taxes,107,88748,12.057
Manhattan Institute,2020s,86,manufacturing,107,88748,12.057
Manhattan Institute,2020s,87,black,105,88748,11.831
Manhattan Institute,2020s,88,degrees,105,88748,11.831
Manhattan Institute,2020s,89,policies,104,88748,11.719
Manhattan Institute,2020s,90,committee,103,88748,11.606
Manhattan Institute,2020s,91,use,102,88748,11.493
Manhattan Institute,2020s,92,spending,101,88748,11.381
Manhattan Institute,2020s,93,insurance,100,88748,11.268
Manhattan Institute,2020s,94,institutions,100,88748,11.268
Manhattan Institute,2020s,95,average,99,88748,11.155
Manhattan Institute,2020s,96,system,98,88748,11.043
Manhattan Institute,2020s,97,programs,97,88748,10.93
Manhattan Institute,2020s,98,systems,97,88748,10.93
Manhattan Institute,2020s,99,llp,97,88748,10.93
Manhattan Institute,2020s,100,time,96,88748,10.817
Manhattan Institute,1990s,1,audi,22,653,336.907
Manhattan Institute,1990s,2,driver,8,653,122.511
Manhattan Institute,1990s,3,sudden,7,653,107.198
Manhattan Institute,1990s,4,acceleration,7,653,107.198
Manhattan Institute,1990s,5,new,6,653,91.884
Manhattan Institute,1990s,6,minutes,5,653,76.57
Manhattan Institute,1990s,7,car,5,653,76.57
Manhattan Institute,1990s,8,s,5,653,76.57
