source,year,term,count,total_tokens
Manhattan Institute,1980,r,2,10267
Manhattan Institute,1980,f,2,10267
Manhattan Institute,1980,today,13,10267
Manhattan Institute,1980,tomorrow,4,10267
Manhattan Institute,1980,tom,14,10267
Manhattan Institute,1980,wolfe's,21,10267
Manhattan Institute,1980,newyork,2,10267
Manhattan Institute,1980,manhattan,16,10267
Manhattan Institute,1980,paper,4,10267
Manhattan Institute,1980,reviews,1,10267
Manhattan Institute,1980,bonfire,53,10267
Manhattan Institute,1980,vanities,15,10267
Manhattan Institute,1980,described,2,10267
Manhattan Institute,1980,essentially,2,10267
Manhattan Institute,1980,literary,2,10267
Manhattan Institute,1980,evem-the,1,10267
Manhattan Institute,1980,transformation,2,10267
Manhattan Institute,1980,america's,1,10267
Manhattan Institute,1980,greatest,8,10267
Manhattan Institute,1980,journalist,4,10267
Manhattan Institute,1980,first-time,1,10267
Manhattan Institute,1980,novelist,3,10267
Manhattan Institute,1980,sure,9,10267
Manhattan Institute,1980,phenome-,1,10267
Manhattan Institute,1980,non,1,10267
Manhattan Institute,1980,first,13,10267
Manhattan Institute,1980,order,32,10267
Manhattan Institute,1980,new,111,10267
Manhattan Institute,1980,yorkers,6,10267
Manhattan Institute,1980,also,26,10267
Manhattan Institute,1980,talking,5,10267
Manhattan Institute,1980,social,31,10267
Manhattan Institute,1980,phe-,1,10267
Manhattan Institute,1980,nomenon,1,10267
Manhattan Institute,1980,acerbic,1,10267
Manhattan Institute,1980,anatomy,1,10267
Manhattan Institute,1980,power,10,10267
Manhattan Institute,1980,privilege,1,10267
Manhattan Institute,1980,nation's,1,10267
Manhattan Institute,1980,richest,1,10267
Manhattan Institute,1980,city,56,10267
Manhattan Institute,1980,added,1,10267
Manhattan Institute,1980,indelible,1,10267
Manhattan Institute,1980,even,21,10267
Manhattan Institute,1980,essential,1,10267
Manhattan Institute,1980,phrases,1,10267
Manhattan Institute,1980,x-ray,1,10267
Manhattan Institute,1980,lemon,1,10267
Manhattan Institute,1980,tart,1,10267
Manhattan Institute,1980,vocabulary,1,10267
Manhattan Institute,1980,every,7,10267
Manhattan Institute,1980,literate,1,10267
Manhattan Institute,1980,yorker,2,10267
Manhattan Institute,1980,moreover,5,10267
Manhattan Institute,1980,candor,1,10267
Manhattan Institute,1980,wolfe,49,10267
Manhattan Institute,1980,discusses,1,10267
Manhattan Institute,1980,race,9,10267
Manhattan Institute,1980,relations,14,10267
Manhattan Institute,1980,york,90,10267
Manhattan Institute,1980,already,5,10267
Manhattan Institute,1980,changed,3,10267
Manhattan Institute,1980,euphemism-bound,1,10267
Manhattan Institute,1980,rules,13,10267
Manhattan Institute,1980,public,24,10267
Manhattan Institute,1980,discourse,2,10267
Manhattan Institute,1980,polite,2,10267
Manhattan Institute,1980,society,6,10267
Manhattan Institute,1980,institute,7,10267
Manhattan Institute,1980,convened,1,10267
Manhattan Institute,1980,panel,2,10267
Manhattan Institute,1980,discuss,1,10267
Manhattan Institute,1980,say,27,10267
Manhattan Institute,1980,political,12,10267
Manhattan Institute,1980,economic,8,10267
Manhattan Institute,1980,realities,2,10267
Manhattan Institute,1980,life,17,10267
Manhattan Institute,1980,chaired,1,10267
Manhattan Institute,1980,fellow,2,10267
Manhattan Institute,1980,walter,56,10267
Manhattan Institute,1980,olson,4,10267
Manhattan Institute,1980,explored,1,10267
Manhattan Institute,1980,degree,5,10267
Manhattan Institute,1980,bleak,1,10267
Manhattan Institute,1980,vision,3,10267
Manhattan Institute,1980,exaggerated--,1,10267
Manhattan Institute,1980,speculated,1,10267
Manhattan Institute,1980,world,16,10267
Manhattan Institute,1980,ofthe,1,10267
Manhattan Institute,1980,like,36,10267
Manhattan Institute,1980,decade,3,10267
Manhattan Institute,1980,come,17,10267
Manhattan Institute,1980,cover,2,10267
Manhattan Institute,1980,carnegie,3,10267
Manhattan Institute,1980,hall,2,10267
Manhattan Institute,1980,william,1,10267
Manhattan Institute,1980,burnet,1,10267
Manhattan Institute,1980,tlllhill,1,10267
Manhattan Institute,1980,lehrman,2,10267
Manhattan Institute,1980,roundtable,3,10267
Manhattan Institute,1980,chairman,2,10267
Manhattan Institute,1980,peter,21,10267
Manhattan Institute,1980,huber,5,10267
Manhattan Institute,1980,myron,28,10267
Manhattan Institute,1980,magnet,3,10267
Manhattan Institute,1980,charles,23,10267
Manhattan Institute,1980,murray,3,10267
Manhattan Institute,1980,terry,44,10267
Manhattan Institute,1980,teachout,3,10267
Manhattan Institute,1980,richard,27,10267
Manhattan Institute,1980,vigilante,5,10267
Manhattan Institute,1980,wriston,2,10267
Manhattan Institute,1980,j,2,10267
Manhattan Institute,1980,manhauan,2,10267
Manhattan Institute,1980,lns,1,10267
Manhattan Institute,1980,u,2,10267
Manhattan Institute,1980,e,2,10267
Manhattan Institute,1980,policy,6,10267
Manhattan Institute,1980,research,6,10267
Manhattan Institute,1980,participants,1,10267
Manhattan Institute,1980,attorney,1,10267
Manhattan Institute,1980,author,3,10267
Manhattan Institute,1980,whose,5,10267
Manhattan Institute,1980,book,62,10267
Manhattan Institute,1980,liability,5,10267
Manhattan Institute,1980,legal,25,10267
