source,year,category,count
Cato Institute,1983,Economic_Freedom_and_Market_Rhetoric,4
Cato Institute,1983,Public_Private_Partnerships_and_Privatization,1
Cato Institute,1984,Economic_Freedom_and_Market_Rhetoric,12
Cato Institute,1984,Government_and_Bureaucracy_Framing,4
Cato Institute,1984,Public_Private_Partnerships_and_Privatization,1
Heritage Foundation,2014,Economic_Freedom_and_Market_Rhetoric,8
Heritage Foundation,2014,Moral_and_Cultural_Language,1
Heritage Foundation,2014,Individualism_and_Responsibility,1
Heritage Foundation,2022,Education_and_Meritocracy,1
Heritage Foundation,2022,Moral_and_Cultural_Language,2
Heritage Foundation,2022,Education_and_Meritocracy,1
Heritage Foundation,2022,Health_Policy_and_Markets,2
Heritage Foundation,2022,Moral_and_Cultural_Language,1
Heritage Foundation,2025,Economic_Freedom_and_Market_Rhetoric,129
Heritage Foundation,2025,Government_and_Bureaucracy_Framing,103
Heritage Foundation,2025,Moral_and_Cultural_Language,35
Heritage Foundation,2025,Individualism_and_Responsibility,53
Heritage Foundation,2025,Cultural_and_Free_Speech_Rhetoric,106
Heritage Foundation,2025,Education_and_Meritocracy,150
Heritage Foundation,2025,National_Security_and_Borders,21
Heritage Foundation,2025,Corporate_and_Technocratic_Language,164
Heritage Foundation,2025,Health_Policy_and_Markets,6
Heritage Foundation,2025,Public_Private_Partnerships_and_Privatization,29
Heritage Foundation,2023,Individualism_and_Responsibility,2
Heritage Foundation,2023,Cultural_and_Free_Speech_Rhetoric,1
Heritage Foundation,2023,Corporate_and_Technocratic_Language,1
Heritage Foundation,1988,Economic_Freedom_and_Market_Rhetoric,2
Heritage Foundation,1988,Government_and_Bureaucracy_Framing,2
Heritage Foundation,1988,Corporate_and_Technocratic_Language,1
Heritage Foundation,1988,Economic_Freedom_and_Market_Rhetoric,4
Heritage Foundation,1988,Education_and_Meritocracy,1
Heritage Foundation,1988,Corporate_and_Technocratic_Language,1
Heritage Foundation,1988,Public_Private_Partnerships_and_Privatization,73
Heritage Foundation,1988,Moral_and_Cultural_Language,1
Heritage Foundation,1988,Individualism_and_Responsibility,1
