source,decade,term,count,tokens,per10k
Cato Institute,1980s,i,197,136764,14.404
Cato Institute,1980s,poucy,1,136764,0.073
Cato Institute,1980s,analysis,68,136764,4.972
Cato Institute,1980s,no,295,136764,21.57
Cato Institute,1980s,july,28,136764,2.047
Cato Institute,1980s,routing,1,136764,0.073
Cato Institute,1980s,request,6,136764,0.439
Cato Institute,1980s,trust,8,136764,0.585
Cato Institute,1980s,the,9226,136764,674.593
Cato Institute,1980s,people,213,136764,15.574
Cato Institute,1980s,case,96,136764,7.019
Cato Institute,1980s,against,148,136764,10.822
Cato Institute,1980s,gun,243,136764,17.768
Cato Institute,1980s,control,170,136764,12.43
Cato Institute,1980s,by,783,136764,57.252
Cato Institute,1980s,david,39,136764,2.852
Cato Institute,1980s,b,54,136764,3.948
Cato Institute,1980s,kopel,2,136764,0.146
Cato Institute,1980s,men,18,136764,1.316
Cato Institute,1980s,their,416,136764,30.417
Cato Institute,1980s,constitutions,7,136764,0.512
Cato Institute,1980s,are,733,136764,53.596
Cato Institute,1980s,naturally,4,136764,0.292
Cato Institute,1980s,divided,8,136764,0.585
Cato Institute,1980s,into,131,136764,9.579
Cato Institute,1980s,two,107,136764,7.824
Cato Institute,1980s,parties,18,136764,1.316
Cato Institute,1980s,those,182,136764,13.308
Cato Institute,1980s,who,257,136764,18.791
Cato Institute,1980s,fear,19,136764,1.389
Cato Institute,1980s,and,3190,136764,233.249
Cato Institute,1980s,distrust,3,136764,0.219
Cato Institute,1980s,identify,6,136764,0.439
Cato Institute,1980s,themselves,58,136764,4.241
Cato Institute,1980s,with,597,136764,43.652
Cato Institute,1980s,have,619,136764,45.26
Cato Institute,1980s,confidence,10,136764,0.731
Cato Institute,1980s,in,2878,136764,210.435
Cato Institute,1980s,them,165,136764,12.065
Cato Institute,1980s,cherish,1,136764,0.073
Cato Institute,1980s,consider,29,136764,2.12
Cato Institute,1980s,as,888,136764,64.929
Cato Institute,1980s,most,191,136764,13.966
Cato Institute,1980s,honest,4,136764,0.292
Cato Institute,1980s,safe,13,136764,0.951
Cato Institute,1980s,depository,1,136764,0.073
Cato Institute,1980s,of,4854,136764,354.918
Cato Institute,1980s,public,278,136764,20.327
Cato Institute,1980s,interest,61,136764,4.46
Cato Institute,1980s,thomas,28,136764,2.047
Cato Institute,1980s,jefferson,3,136764,0.219
Cato Institute,1980s,few,52,136764,3.802
Cato Institute,1980s,policy,340,136764,24.86
