source,decade,rank,term,count,tokens,per10k
Cato Institute,1980s,1,the,9226,136764,674.593
Cato Institute,1980s,2,of,4854,136764,354.918
Cato Institute,1980s,3,to,3815,136764,278.948
Cato Institute,1980s,4,and,3190,136764,233.249
Cato Institute,1980s,5,in,2878,136764,210.435
Cato Institute,1980s,6,a,2545,136764,186.087
Cato Institute,1980s,7,that,1821,136764,133.149
Cato Institute,1980s,8,is,1558,136764,113.919
Cato Institute,1980s,9,for,1389,136764,101.562
Cato Institute,1980s,10,it,915,136764,66.904
Cato Institute,1980s,11,as,888,136764,64.929
Cato Institute,1980s,12,on,877,136764,64.125
Cato Institute,1980s,13,be,861,136764,62.955
Cato Institute,1980s,14,by,783,136764,57.252
Cato Institute,1980s,15,are,733,136764,53.596
Cato Institute,1980s,16,not,725,136764,53.011
Cato Institute,1980s,17,have,619,136764,45.26
Cato Institute,1980s,18,with,597,136764,43.652
Cato Institute,1980s,19,or,559,136764,40.873
Cato Institute,1980s,20,would,559,136764,40.873
Cato Institute,1980s,21,was,556,136764,40.654
Cato Institute,1980s,22,an,548,136764,40.069
Cato Institute,1980s,23,has,520,136764,38.022
Cato Institute,1980s,24,p,517,136764,37.802
Cato Institute,1980s,25,s,497,136764,36.34
Cato Institute,1980s,26,government,487,136764,35.609
Cato Institute,1980s,27,from,485,136764,35.463
Cato Institute,1980s,28,this,476,136764,34.804
Cato Institute,1980s,29,more,423,136764,30.929
Cato Institute,1980s,30,but,420,136764,30.71
Cato Institute,1980s,31,their,416,136764,30.417
Cato Institute,1980s,32,they,416,136764,30.417
Cato Institute,1980s,33,at,411,136764,30.052
Cato Institute,1980s,34,new,377,136764,27.566
Cato Institute,1980s,35,its,347,136764,25.372
Cato Institute,1980s,36,were,341,136764,24.933
Cato Institute,1980s,37,policy,340,136764,24.86
Cato Institute,1980s,38,than,338,136764,24.714
Cato Institute,1980s,39,one,330,136764,24.129
Cato Institute,1980s,40,which,328,136764,23.983
Cato Institute,1980s,41,bank,326,136764,23.837
Cato Institute,1980s,42,u,321,136764,23.471
Cato Institute,1980s,43,world,318,136764,23.252
Cato Institute,1980s,44,economic,312,136764,22.813
Cato Institute,1980s,45,been,299,136764,21.862
Cato Institute,1980s,46,if,296,136764,21.643
Cato Institute,1980s,47,no,295,136764,21.57
Cato Institute,1980s,48,will,294,136764,21.497
Cato Institute,1980s,49,public,278,136764,20.327
Cato Institute,1980s,50,such,270,136764,19.742
Cato Institute,1980s,51,states,269,136764,19.669
Cato Institute,1980s,52,private,268,136764,19.596
Cato Institute,1980s,53,trade,260,136764,19.011
Cato Institute,1980s,54,who,257,136764,18.791
Cato Institute,1980s,55,we,256,136764,18.718
Cato Institute,1980s,56,all,250,136764,18.28
Cato Institute,1980s,57,security,246,136764,17.987
Cato Institute,1980s,58,other,245,136764,17.914
Cato Institute,1980s,59,gun,243,136764,17.768
Cato Institute,1980s,60,political,240,136764,17.548
Cato Institute,1980s,61,only,237,136764,17.329
Cato Institute,1980s,62,had,237,136764,17.329
Cato Institute,1980s,63,can,235,136764,17.183
Cato Institute,1980s,64,american,234,136764,17.11
Cato Institute,1980s,65,percent,232,136764,16.964
Cato Institute,1980s,66,social,231,136764,16.89
Cato Institute,1980s,67,united,230,136764,16.817
Cato Institute,1980s,68,there,229,136764,16.744
Cato Institute,1980s,69,system,220,136764,16.086
Cato Institute,1980s,70,may,218,136764,15.94
Cato Institute,1980s,71,even,217,136764,15.867
Cato Institute,1980s,72,york,217,136764,15.867
Cato Institute,1980s,73,people,213,136764,15.574
Cato Institute,1980s,74,pp,213,136764,15.574
Cato Institute,1980s,75,because,209,136764,15.282
Cato Institute,1980s,76,jobs,209,136764,15.282
Cato Institute,1980s,77,out,205,136764,14.989
Cato Institute,1980s,78,foreign,204,136764,14.916
Cato Institute,1980s,79,some,202,136764,14.77
Cato Institute,1980s,80,also,202,136764,14.77
