source,year,term,count,total_tokens
Cato Institute,1980,i,197,136764
Cato Institute,1980,poucy,1,136764
Cato Institute,1980,analysis,68,136764
Cato Institute,1980,no,295,136764
Cato Institute,1980,july,28,136764
Cato Institute,1980,routing,1,136764
Cato Institute,1980,request,6,136764
Cato Institute,1980,trust,8,136764
Cato Institute,1980,the,9226,136764
Cato Institute,1980,people,213,136764
Cato Institute,1980,case,96,136764
Cato Institute,1980,against,148,136764
Cato Institute,1980,gun,243,136764
Cato Institute,1980,control,170,136764
Cato Institute,1980,by,783,136764
Cato Institute,1980,david,39,136764
Cato Institute,1980,b,54,136764
Cato Institute,1980,kopel,2,136764
Cato Institute,1980,men,18,136764
Cato Institute,1980,their,416,136764
Cato Institute,1980,constitutions,7,136764
Cato Institute,1980,are,733,136764
Cato Institute,1980,naturally,4,136764
Cato Institute,1980,divided,8,136764
Cato Institute,1980,into,131,136764
Cato Institute,1980,two,107,136764
Cato Institute,1980,parties,18,136764
Cato Institute,1980,those,182,136764
Cato Institute,1980,who,257,136764
Cato Institute,1980,fear,19,136764
Cato Institute,1980,and,3190,136764
Cato Institute,1980,distrust,3,136764
Cato Institute,1980,identify,6,136764
Cato Institute,1980,themselves,58,136764
Cato Institute,1980,with,597,136764
Cato Institute,1980,have,619,136764
Cato Institute,1980,confidence,10,136764
Cato Institute,1980,in,2878,136764
Cato Institute,1980,them,165,136764
Cato Institute,1980,cherish,1,136764
Cato Institute,1980,consider,29,136764
Cato Institute,1980,as,888,136764
Cato Institute,1980,most,191,136764
Cato Institute,1980,honest,4,136764
Cato Institute,1980,safe,13,136764
Cato Institute,1980,depository,1,136764
Cato Institute,1980,of,4854,136764
Cato Institute,1980,public,278,136764
Cato Institute,1980,interest,61,136764
Cato Institute,1980,thomas,28,136764
Cato Institute,1980,jefferson,3,136764
Cato Institute,1980,few,52,136764
Cato Institute,1980,policy,340,136764
Cato Institute,1980,debates,6,136764
Cato Institute,1980,been,299,136764
Cato Institute,1980,dominated,5,136764
Cato Institute,1980,emotion,2,136764
Cato Institute,1980,misinformation,2,136764
Cato Institute,1980,one,330,136764
Cato Institute,1980,on,877,136764
Cato Institute,1980,perhaps,35,136764
Cato Institute,1980,this,476,136764
Cato Institute,1980,debate,41,136764
Cato Institute,1980,is,1558,136764
Cato Institute,1980,so,191,136764
Cato Institute,1980,highly,23,136764
Cato Institute,1980,charged,10,136764
Cato Institute,1980,because,209,136764
Cato Institute,1980,it,915,136764
Cato Institute,1980,involves,12,136764
Cato Institute,1980,such,270,136764
Cato Institute,1980,fundamental,15,136764
Cato Institute,1980,issues,39,136764
Cato Institute,1980,calls,7,136764
Cato Institute,1980,for,1389,136764
Cato Institute,1980,more,423,136764
Cato Institute,1980,restrictions,52,136764
Cato Institute,1980,or,559,136764
Cato Institute,1980,bans,10,136764
Cato Institute,1980,some,202,136764
Cato Institute,1980,all,250,136764
Cato Institute,1980,guns,99,136764
Cato Institute,1980,significant,23,136764
Cato Institute,1980,change,64,136764
Cato Institute,1980,our,137,136764
Cato Institute,1980,social,231,136764
Cato Institute,1980,constitutional,30,136764
Cato Institute,1980,systems,40,136764
Cato Institute,1980,based,42,136764
Cato Institute,1980,faulty,1,136764
Cato Institute,1980,notion,12,136764
Cato Institute,1980,that,1821,136764
Cato Institute,1980,ordinary,21,136764
Cato Institute,1980,american,234,136764
Cato Institute,1980,citizens,93,136764
Cato Institute,1980,too,60,136764
Cato Institute,1980,clumsy,1,136764
Cato Institute,1980,ill-tempered,1,136764
Cato Institute,1980,to,3815,136764
Cato Institute,1980,be,861,136764
Cato Institute,1980,trusted,3,136764
Cato Institute,1980,weapons,51,136764
Cato Institute,1980,only,237,136764
Cato Institute,1980,through,98,136764
Cato Institute,1980,blatant,1,136764
Cato Institute,1980,abrogation,1,136764
Cato Institute,1980,explicit,12,136764
Cato Institute,1980,rights,84,136764
Cato Institute,1980,even,217,136764
Cato Institute,1980,possible,38,136764
Cato Institute,1980,must,150,136764
Cato Institute,1980,enforced,5,136764
Cato Institute,1980,violations,10,136764
Cato Institute,1980,individual,48,136764
Cato Institute,1980,intrusive,2,136764
Cato Institute,1980,search,11,136764
Cato Institute,1980,seizure,9,136764
Cato Institute,1980,severely,4,136764
Cato Institute,1980,victimizes,1,136764
Cato Institute,1980,need,81,136764
Cato Institute,1980,self-defense,22,136764
Cato Institute,1980,blacks,25,136764
Cato Institute,1980,women,24,136764
Cato Institute,1980,various,31,136764
Cato Institute,1980,proposals,33,136764
Cato Institute,1980,today's,7,136764
Cato Institute,1980,agenda--,1,136764
Cato Institute,1980,including,39,136764
Cato Institute,1980,licensing,39,136764
Cato Institute,1980,waiting,11,136764
Cato Institute,1980,periods,12,136764
Cato Institute,1980,so-called,5,136764
Cato Institute,1980,saturday,12,136764
Cato Institute,1980,night,19,136764
Cato Institute,1980,specials--are,1,136764
Cato Institute,1980,little,72,136764
Cato Institute,1980,if,296,136764
Cato Institute,1980,any,139,136764
Cato Institute,1980,value,33,136764
Cato Institute,1980,crime-,2,136764
Cato Institute,1980,fighting,9,136764
Cato Institute,1980,measures,39,136764
Cato Institute,1980,banning,7,136764
Cato Institute,1980,reduce,36,136764
Cato Institute,1980,crime,73,136764
Cato Institute,1980,makes,31,136764
Cato Institute,1980,much,131,136764
Cato Institute,1980,sense,38,136764
Cato Institute,1980,alcohol,8,136764
Cato Institute,1980,drunk,3,136764
Cato Institute,1980,driving,11,136764
Cato Institute,1980,indeed,36,136764
Cato Institute,1980,persuasive,8,136764
Cato Institute,1980,evidence,43,136764
Cato Institute,1980,shows,13,136764
Cato Institute,1980,civilian,14,136764
Cato Institute,1980,ownership,33,136764
Cato Institute,1980,can,235,136764
Cato Institute,1980,a,2545,136764
Cato Institute,1980,powerful,18,136764
Cato Institute,1980,deterrent,3,136764
Cato Institute,1980,poses,2,136764
Cato Institute,1980,basic,37,136764
Cato Institute,1980,question,44,136764
Cato Institute,1980,trustworthy,4,136764
Cato Institute,1980,government,487,136764
Cato Institute,1980,formerly,6,136764
Cato Institute,1980,an,548,136764
Cato Institute,1980,assistant,5,136764
Cato Institute,1980,district,6,136764
Cato Institute,1980,attorney,10,136764
Cato Institute,1980,manhattan,1,136764
Cato Institute,1980,colorado,2,136764
Cato Institute,1980,page,52,136764
Cato Institute,1980,cause,44,136764
Cato Institute,1980,advocates--those,1,136764
Cato Institute,1980,favor,35,136764
Cato Institute,1980,additional,18,136764
Cato Institute,1980,legal,48,136764
Cato Institute,1980,availability,14,136764
Cato Institute,1980,want,35,136764
Cato Institute,1980,outlaw,3,136764
Cato Institute,1980,certain,29,136764
Cato Institute,1980,types,10,136764
Cato Institute,1980,guns--argue,1,136764
Cato Institute,1980,there,229,136764
Cato Institute,1980,will,294,136764
Cato Institute,1980,detroit,13,136764
Cato Institute,1980,narcotics,2,136764
Cato Institute,1980,officer,10,136764
Cato Institute,1980,put,44,136764
Cato Institute,1980,drugs,9,136764
Cato Institute,1980,x,4,136764
Cato Institute,1980,number,59,136764
Cato Institute,1980,society,49,136764
Cato Institute,1980,y,20,136764
Cato Institute,1980,kids,3,136764
Cato Institute,1980,possession,17,136764
Cato Institute,1980,z,2,136764
Cato Institute,1980,plus,12,136764
Cato Institute,1980,equals,1,136764
Cato Institute,1980,increase,71,136764
Cato Institute,1980,murders,2,136764
Cato Institute,1980,but,420,136764
Cato Institute,1980,simple,20,136764
Cato Institute,1980,statistical,12,136764
Cato Institute,1980,correlation,6,136764
Cato Institute,1980,between,97,136764
Cato Institute,1980,homicide,24,136764
Cato Institute,1980,other,245,136764
Cato Institute,1980,violent,21,136764
Cato Institute,1980,crimes,14,136764
Cato Institute,1980,first,118,136764
Cato Institute,1980,years,127,136764
Cato Institute,1980,century,33,136764
Cato Institute,1980,u,321,136764
Cato Institute,1980,s,497,136764
Cato Institute,1980,per,38,136764
Cato Institute,1980,capita,7,136764
Cato Institute,1980,handgun,69,136764
Cato Institute,1980,remained,13,136764
Cato Institute,1980,stable,8,136764
Cato Institute,1980,rate,81,136764
